KEY,ENGLISH,NOTES,GERMAN,FRENCH,ITALIAN,SPANISH,PORTUGUESE,PORTUGUESE BR,POLISH,RUSSIAN,TURKISH,DANISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH,JAPANESE,SIMPLIFIED CHINESE,KOREAN
ACTION.JOB.FISHING,Fishing,,Angeln,,Pesca,Pescando,,,,Рыбалка,,Fisker,,,,,,釣りをしている,钓鱼,
ACTION.JOB.GENERIC,{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,Изготовление деревянных досок {{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetDescription}},,,,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}},
ACTION.JOB.HARVESTING,Harvesting {{targetPlant}},,Erntet {{targetPlant}},Récolte: {{targetPlant}},Sta raccogliendo: {{targetPlant}},Cosechando {{targetPlant}},A colher {{targetPlant}},Colhendo {{targetPlant}},,Сбор урожая: {{targetPlant}},{{targetPlant}} biçiliyor,Høster {{targetPlant}},,Skörd {{targetPlant}},,,,{{targetPlant}}を収穫している,正在收割{{targetPlant}},
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,Injecting mushroom spawn,,Injiziert Pilzkultur,Plantation de la champignonnière,Iniezione delle uova di funghi,Inyectando germen de hongos,Injetar desova de cogumelos,,,Введение грибных спор,Mantar özü aşılanıyor.,Indsprøjter svampesporer,,Injicera svamp leka,,,,キノコの胞子を注入している,正在注入菌种,
ACTION.JOB.LOGGING,{{profession.verb}} {{targetPlant}},,{{profession.verb}} {{targetPlant}},{{profession.verb}}: {{targetPlant}},{{profession.verb}}: {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetDescription}},,{{profession.verb}} {{targetPlant}},,,,{{profession.verb}} {{targetPlant}},{{profession.verb}} {{targetPlant}},
ACTION.JOB.PLANTING,Planting {{requiredItem}},,Pflanzt {{requiredItem}},Plante: {{requiredItem}},Sta piantando: {{requiredItem}},Colocando {{requiredItem}},A plantar {{requiredItem}},Plantando {{requiredItem}},,Посадка: {{requiredItem}},{{requiredItem}} dikiliyor,Planter {{requiredItem}},,Plantering {{RequireDem}},,,,{{requiredItem}}を植えている,正在种植{{requiredItem}},
ACTION.JOB.REMOVE_PESTS_FROM_CROP,Removing pests from {{targetPlant}},,Entfernt Schädlinge von {{targetPlant}},Désinsectise: {{targetPlant}},Sta disinfestando: {{targetPlant}},Eliminando plagas de {{targetPlant}},A remover pragas de {{targetPlant}},Exterminando pragas de {{targetPlant}},,Удаление вредителей из: {{targetPlant}},{{targetPlant}} haşerat temizleniyor.,Fjerner skadedyr fra {{targetPlant}},,Ta bort skadedjur från {{targetPlant}},,,,{{targetPlant}}の害虫を駆除している,正在为{{targetPlant}}除虫,
ACTION.JOB.SHOVELLING,Shovelling {{targetDescription}},,Schaufelt {{targetDescription}},Pelle {{targetDescription}},Spalatura {{targetDescription}},Paleando {{targetDescription}},Pás {{targetDescription}},,,Перекапывание{{targetDescription}},{{targetDescription}} kürekle kaldırılıyor,Graver {{targetDescription}},,Skovning {{targetDescription},,,,{{targetDescription}}を掘っている,正在铲{{targetDescription}},
ACTION.JOB.TILLING,Tilling the earth,,Bestellt das Feld,Laboure la terre,Sta arando il terreno,Labrando la tierra,A lavrar a terra,Lavrando a terra,,Возделывание земли,Toprak belleniyor.,Pløjer jorden,,Jordbearbetning,,,,大地を耕している,正在耕地,
ACTION.JOB.TRANSFER_LIQUID,Filling {{targetDescription}},,Füllt {{targetDescription}},Rempli: {{targetDescription}},Sta riempiendo: {{targetDescription}},Rellenando {{targetDescription}},A encher {{targetDescription}},Enchendo {{targetDescription}},,Заполнение: {{targetDescription}},{{targetDescription}} dolduruluyor.,Fylder {{targetDescription}},,Fyllning {{targetDescription},,,,{{targetDescription}}を満たしている,正在填装{{targetDescription}},
ACTION.KNOCKED_UNCONSCIOUS,Knocked unconscious,,Bewusstlos geschlagen,,Ha perso i sensi,Incosciente,,,,Потерял сознание,,Slået bevidstløs,,,,,,意識を失っている,失去知觉,
ACTION.MALTING.VERB,Malting,,Mälzt,,Maltare,Malteando,,,,Соложение,Çimlendiriliyor,Malter,,,,,,溶融している,制作麦芽,
ACTION.PREPARATION.VERB,Preparing,,Bereitet vor,Préparation,Mi sto preparando,Preparando,Preparando,,,Подготовка,Hazırlanıyor,Forbereder,,Förbereder,,,,準備している,准备,
ACTION.SELECT_JOB.DESCRIPTION,Looking for work to do,,Sucht Arbeit,Cherche quoi faire,Sta cercando qualcosa da fare,Buscando qué hacer,À procura de trabalho,Procurando o que fazer,,Поиск работы которую нужно сделать,Yapacak iş arıyor,Leder efter arbejde,,Söker efter arbete,,,,仕事を探している,正在找活儿做,
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,Sleeping on {{tileDescription}},,Schläft auf {{tileDescription}},Dors: {{tileDescription}},Sta dormendo su: {{tileDescription}},Durmiendo sobre {{tileDescription}},A dormir em {{tileDescription}},Dormindo em {{tileDescription}},,Спящий на: {{tileDescription}},{{tileDescription}} üzerinde uyuyor.,Sover på {{tileDescription}},,Sova på {{TileDescription},,,,{{tileDescription}}で眠っている,在{{tileDescription}}上睡觉,
ACTION.STUNNED,Stunned,,Betäubt,,Stordito,Aturdido,,,,Ошеломленный,,Lammet,,,,,,スタンしている,昏迷,

ARMOUR.LEATHER,Leather armour,,Lederrüstung,,,,,,,,,Læderrustning,,,,,,,皮甲,
ARMOUR.LEATHER.TOOLTIP,A light and basic armour to protect you in combat,,"Eine leichte und einfache Rüstung, die im Kampf schützt",,,,,,,,,"En let og simpel rustning, beregnet til at beskytte dig i kamp",,,,,,,轻便、简易的防具，能在战斗中保护你。,
ARMOUR.ORC.HEAVY,Orc armour,,Orkrüstung,,,,,,,,,Orkrustning,,,,,,,兽人盔甲,
ARMOUR.ORC.LIGHT,Leather orc armour,,Orklederrüstung,,,,,,,,,Ork læderrustning,,,,,,,兽人皮甲,
ARMOUR.PLATE,Plate armour,,Plattenrüstung,,,,,,,,,Pladerustning,,,,,,,板甲,
ARMOUR.PLATE.TOOLTIP,Thick and sturdy armour which offers a lot of protection in combat,,"Dicke und haltbare Rüstung, welche sehr guten Schutz im Kampf bietet",,,,,,,,,"Tyk og hårdfør rustning, som giver meget beskyttelse i kamp",,,,,,,厚重的防具，能在战斗中提供极强的防御。,

ASHES.NOUN,Ash,,Asche,,Cenere,Cenizas,,,,Пепел,,Aske,,,,,,灰,灰烬,

BODY_STRUCTURE.ABDOMEN,Abdomen,,Bauch,,Addome,Abdomen,,,,Брюшная полость,,Mave,,,,,,腹部,腹部,
BODY_STRUCTURE.ARM,Arm,,Arm,,Braccio,Brazo,,,,Рука,,Arm,,,,,,腕,胳膊,
BODY_STRUCTURE.CEPHALOTHORAX,Cephalothorax,,Vorderleib,,,,,,,,,Cephalothorax,,,,,,,头胸部,
BODY_STRUCTURE.DAMAGE.BLEEDING,Bleeding,,Blutet,,Sanguinamento,Sangrando,,,,Кровотечение,,Bløder,,,,,,出血:,流血,
BODY_STRUCTURE.DAMAGE.BROKENBONES,Broken,,Gebrochen,,Ossa rotte,Roto,,,,Сломанный,,Brækket,,,,,,骨折:,断裂,
BODY_STRUCTURE.DAMAGE.BRUISED,Bruised,,Gequetscht,,Ferito,Magullado,,,,Ушибленный,,Forslået,,,,,,痣になっている:,擦伤,
BODY_STRUCTURE.DAMAGE.DESTROYED,Destroyed,,Zerstört,,Distrutto,Destruido,,,,Уничтоженный,,Ødelagt,,,,,,破壊された:,摧毁,
BODY_STRUCTURE.DAMAGE.NOT_INJURED,Not Injured,,Unverletzt,,,,,,,,,Ikke tilskadekommen,,,,,,,未受伤,
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,Rear left,,Hinten links,,Posteriore sinistro,Trasera izquierda,,,,Задний нижний,,Bagerst til venstre,,,,,,後方左,左后,
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,Rear right,,Hinten rechts,,Posteriore destro,Trasera derecha,,,,Задний правый,,Bagerst til højre,,,,,,後方右,右后,
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,First left,,Erste links,,,,,,,,,Første til venstre,,,,,,,左一,
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,First right,,Erste rechts,,,,,,,,,Første til højre,,,,,,,右一,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,Fourth left,,Vierte links,,,,,,,,,Fjerde til venstre,,,,,,,左四,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,Fourth right,,Vierte rechts,,,,,,,,,Fjerde til højre,,,,,,,右四,
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,Front left,,Vorne links,,Anteriore sinistro,Delantera izquierda,,,,,,Venstre i front,,,,,,前方左,左前,
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,Front right,,Vorne rechts,,Anteriore destro,Delantera derecha,,,,Передний правый,,Højre i front,,,,,,前方右,右前,
BODY_STRUCTURE.DISCRIMINATOR.LEFT,Left,,Links,,Sinistra,Izquierda,,,,Лево,,Venstre,,,,,,左,左,
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,Right,,Rechts,,Destra,Derecha,,,,Право,,Højre,,,,,,右,右,
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,Second left,,Zweite links,,,,,,,,,Anden til venstre,,,,,,,左二,
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,Second right,,Zweite rechts,,,,,,,,,Anden til højre,,,,,,,右二,
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,Third left,,Dritte links,,,,,,,,,Tredje til venstre,,,,,,,左三,
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,Third right,,Dritte rechts,,,,,,,,,Tredje til højre,,,,,,,右三,
BODY_STRUCTURE.FOOT,Foot,,Fuß,,Piede,Pie,,,,Ступня,,Fod,,,,,,足,脚,
BODY_STRUCTURE.HAND,Hand,,Hand,,Mano,Mano,,,,Рука,,Hånd,,,,,,手,手,
BODY_STRUCTURE.HEAD,Head,,Kopf,,Testa,Cabeza,,,,Голова,,Hoved,,,,,,頭,头,
BODY_STRUCTURE.HOOF,Hoof,,Huf,,Zoccolo,Pezuña,,,,Копыто,,Hov,,,,,,蹄,蹄子,
BODY_STRUCTURE.LEFT-ARM,Left arm,,Linker Arm,,,,,,,,,Venstre arm,,,,,,,左臂,
BODY_STRUCTURE.LEFT-HAND,Left hand,,Linke Hand,,,,,,,,,Venstre hånd,,,,,,,左手,
BODY_STRUCTURE.LEG,Leg,,Bein,,Gamba,Pierna,,,,Нога,,Ben,,,,,,脚,腿,
BODY_STRUCTURE.ORGAN.BRAIN,Brain,,Gehirn,,Cervello,Cerebro,,,,Мозг,,Hjerne,,,,,,脳,大脑,
BODY_STRUCTURE.ORGAN.EYE,Eye,,Auge,,Occhio,Ojo,,,,Глаз,,Øje,,,,,,目,眼,
BODY_STRUCTURE.ORGAN.HEART,Heart,,Herz,,Cuore,Corazón,,,,Сердце,,Hjerte,,,,,,心臓,心脏,
BODY_STRUCTURE.ORGAN.INTESTINES,Intestines,,Innereien,,Intestino,Intestinos,,,,Кишечник,,Indvolde,,,,,,腸,内脏,
BODY_STRUCTURE.ORGAN.KIDNEY,Kidney,,Niere,,Rene,Riñón,,,,Почка,,Nyre,,,,,,腎臓,肾,
BODY_STRUCTURE.ORGAN.LUNG,Lung,,Lunge,,Polmone,Pulmón,,,,Печень,,Lunge,,,,,,肺,肺,
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,Destroyed,,Zerstört,,Distrutto,Reventado,,,,Уничтожен,,Ødelagt,,,,,,破壊された:,摧毁,
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,Heavy damage to,,Schwere Verletzung an,,Danni pesanti a,Daño grave en,,,,Серьезное повреждение,,Hårdt skadet,,,,,,重傷:,重伤：,
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,Light damage to,,Leichte Verletzung an,,Danno leggero a,Daño leve en,,,,Легкое повреждение,,Let skadet,,,,,,軽傷:,轻伤：,
BODY_STRUCTURE.PAW,Paw,,Pfote,,Zampa,Zarpa,,,,Лапа,,Pote,,,,,,肉球,爪子,
BODY_STRUCTURE.RIGHT-ARM,Right arm,,Rechter Arm,,,,,,,,,Højre arm,,,,,,,右臂,
BODY_STRUCTURE.RIGHT-HAND,Right hand,,Rechte Hand,,,,,,,,,Højre hånd,,,,,,,右手,
BODY_STRUCTURE.TORSO,Chest,,Brust,,Torso,Pecho,,,,Грудь,,Bryst,,,,,,胸,胸,
BODY_STRUCTURE.TRUNK,Trunk,,Rumpf,,,,,,,,,Bughule,,,,,,,躯干,

BONE.BONE,Bone,,Knochen,,Osso,Hueso,,,,Кость,,Knogle,,,,,,骨,骨头,

CARCASS.CARP.PREPARED.NOUN,Carp fillet,,Karpfenfilet,,Filetto di carpa,Filete de carpa,,,,Филе карпа,,Karpefilet,,,,,,コイの切り身,鲤鱼柳,
CARCASS.CARP.PREPARED.PLURAL,Carp fillets,,Karpfenfilets,,Filetti di carpa,Filetes de carpa,,,,Филе карпа,,Karpefileter,,,,,,コイの切り身,鲤鱼柳,
CARCASS.GROUP,Corpses,,Leichen,,Cadaveri,Cadáveres,,,,Трупы,,Lig,,,,,,死体,尸体,
CARCASS.HIDE.NOUN,Hide,,Haut,,,,,,,,,Skind,,,,,,,隐藏,
CARCASS.HIDE.PLURAL,Hides,,Häute,,,,,,,,,Skind,,,,,,,隐藏,
CARCASS.MEAT.LARGE,Meat (large),,Fleisch (groß),,Carne (grande),Carne (grande),,,,Большой кусок мяса,,Kød (Stort),,,,,,食肉(大),肉（大）,
CARCASS.MEAT.MEDIUM,Meat (medium),,Fleisch (mittel),,Carne (medio),Carne (mediana),,,,Средний кусок мяса,,Kød (Mellem),,,,,,食肉(中),肉（中）,
CARCASS.MEAT.SMALL,Meat (small),,Fleisch (klein),,Carne (piccolo),Carne (pequeña),,,,Маленький кусок мяса,,Kød (Lille),,,,,,食肉(小),肉（小）,
CARCASS.PERCH.PREPARED.NOUN,Perch fillet,,Barschfilet,,Filetto di pesce persico,Filete de perca,,,,Филе окуня,,Aborrefilet,,,,,,パーチの切り身,鲈鱼柳,
CARCASS.PERCH.PREPARED.PLURAL,Perch fillets,,Barschfilets,,Filetti di pesce persico,Filetes de perca,,,,Филе окуня,,Aborrefileter,,,,,,パーチの切り身,鲈鱼柳,
CARCASS.PIKE.PREPARED.NOUN,Pike fillet,,Hechtfilet,,Filetto di luccio,Filete de lucio,,,,Филе щуки,,Geddefilet,,,,,,マスの切り身,梭鱼柳,
CARCASS.PIKE.PREPARED.PLURAL,Pike fillets,,Hechtfilets,,Filetti di luccio,Filetes de lucio,,,,Филе щуки,,Geddefileter,,,,,,マスの切り身,梭鱼柳,

CLOTH.BRONZED_HEMP,Hemp,,Hanf,,"Canapa bronzata				 ",,,,,Пенька,,Bronzeret hamp,,,,,,麻,火麻,
CLOTH.HEMP-LINEN,Hemp,,Hanf,,Canapa-Lino,Cáñamo,,,,Пенька,,Hamplinned,,,,,,麻,火麻,
CLOTH.LIGHT_HEMP,Hemp,,Hanf,,Canapa leggera,,,,,Пенька,,Let hamp,,,,,,麻,火麻,
CLOTH.TOBACCO_CLOTH,Tobacco cloth,,Tabaklappen,,"Panno di tabacco				   ",,,,,Табачная ткань,,Tobaksstof,,,,,,タバコの葉,,

COMBAT.DESCRIPTION.FLEEING,Fleeing from combat,,Flieht aus dem Kampf,,,,,,,,,Flygter fra kamp,,,,,,,逃离战斗,
COMBAT.DESCRIPTION.GENERIC,In combat,,Im Kampf,,,,,,,,,I kamp,,,,,,,正在战斗,
COMBAT.DESCRIPTION.VERSUS_OPPONENT,In combat with {{targetDescription}},,Im Kampf mit {{targetDescription}},,,,,,,,,I kamp med,,,,,,,正在与{{targetDescription}}战斗,

CONSTRUCTION.DESCRIPTION,Construction of {{materialType.adjective}} {{furnitureType.noun}},,Stellt {{furnitureType.noun}} aus {{materialType}} her,Construction: {{furnitureType.noun}} {{materialType.adjective}},Costruzione di: {{furnitureType.noun}} {{materialType.adjective}},Construcción de {{furnitureType.noun}} {{materialType.adjective}},Construção de {{materialType.adjective}} {{furnitureType.noun}},Fabricação de {{furnitureType.noun}} {{materialType.adjective}},,Строительство: {{furnitureType.noun}} {{materialType.adjective}},{{furnitureType.noun}}  {{materialType}} inşa ediliyor.,Bygning af {{materialType.adjective}} {{furnitureType.noun}},,Konstruktion av {{materialType.adjective}} {{furnitureType.noun}},,,,{{materialType.adjective}} {{furnitureType.noun}}(建築中),建造{{materialType.adjective}} {{furnitureType.noun}},
CONSTRUCTION.REQUIREMENT_ALLOCATION,{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,,{{numRequired}} benötigt{{\n}}{{numAvailable}} verfügbar{{\n}}{{numAssigned}} zugewiesen,,,,,,,,,{{numRequired}} nødvendig{{\n}}{{numAvailable}} tilgængelig{{\n}}{{numAssigned}} tildelt,,,,,,,{{numRequired}}需要{{\n}}{{numAvailable}} 可用{{\n}}{{numAssigned}}已分配,
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,,{{outputItemType}} wird von {{profession}} an {{furnitureType}} hergestellt aus {{inputItemTypes}} und {{lastInputItemType}}.,,,,,,,,,{{outputItemType}} er lavet af {{inputItemTypes}} og {{lastInputItemType}} ved {{furnitureType}} af {{profession}}.,,,,,,,{{outputItemType}}由{{profession}}在{{furnitureType}}加工{{inputItemTypes}}和{{lastInputItemType}}而成。,
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,,{{outputItemType}} wird von {{profession}} an {{furnitureType}} hergestellt aus {{lastInputItemType}}.,,,,,,,,,{{outputItemType}} er lavet af {{lastInputItemType}} ved {{furnitureType}} af {{profession}}.,,,,,,,{{outputItemType}}由{{profession}}在{{furnitureType}}加工{{lastInputItemType}}而成。,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,Removing other items,,Entfernt andere Gegenstände,Retire d'autres objets,Sta rimuovendo altri oggetti,Eliminando otros objetos,A remover outros itens,Removendo outros itens,,Убирает другие предметы,Alan temizleniyor.,Fjerner andre genstande,,Ta bort andra objekt,,,,邪魔なものを撤去している,正在移除其他物品,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,There are items that need to be removed from this furniture’s construction area before it can progress.,,Es müssen Gegenstände aus dem Konstruktionsbereich entfernt werden bevor mit dem Bau fortgefahren werden kann.,Il y a des éléments qui doivent être retirés de la zone de construction de ce meuble avant qu'il ne puisse être construit.,Ci sono oggetti che devono essere rimossi dall'area di costruzione di questo mobile prima che possa progredire.,Hay elementos que deben ser retirados del área de construcción de este mueble antes de que pueda progresar.,Há itens que precisam ser removidos da área de construção deste mobiliário antes que ele possa progredir.,,,"Есть предметы, которые необходимо удалить из строительной зоны, прежде, чем эта мебель будет установлена.",Mobilyanın inşa edilebilmesi alandaki eşyaların temizlenmesi gerekiyor.,"Der er ting, der skal flyttes fra dette møbels byggeplads, før konstruktionen kan fortsætte.",,Det finns föremål som måste tas bort från möbelns byggområde innan det kan utvecklas.,,,,何か構築の邪魔になるものがあるため、先にそれらを撤去する必要があります。,需要清除此家具建造区，否则无法继续。,
CONSTRUCTION.STATUS.SELECTING_MATERIALS,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,,Wartet auf mehr {{itemDescription.plural}} aus {{materialType}},Attend plus de {{itemDescription.plural}} en {{materialType}} disponibles,In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}},Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}},A aguardar por mais {{materialType}} {{itemDescription.plural}} disponível,Aguardando mais {{itemDescription.plural}} de {{materialType}} disponíveis,,Ожидание дополнительных материалов: {{materialType}} {{itemDescription.plural}},Daha fazla {{itemDescription.plural}} {{materialType}} bekleniyor.,Venter på mere {{materialType}} {{itemDescription.plural}} bliver tilgængeligt,,Väntar på att fler {{MaterialType}} {{itemDescription.plural}} är tillgängliga,,,," {{materialType}} {{itemDescription.plural}} がより多く必要",等待更多的{{materialType}} {{itemDescription.plural}},
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,Under construction,,Wird gebaut,En construction,In costruzione,En construcción,Em construção,Em construção,,Идет строительство,İnşa ediliyor,Under opbygning,,Under konstruktion,,,,建築している,正在施工,
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,Waiting for resources to arrive,,Wartet auf Materialien,Attend l'arrivée de ressources,In attesa dell'arrivo delle risorse,Esperando a que los recursos lleguen,A aguardar a chegada de recursos,Aguardando a chegada de recursos,,Ожидание доставки ресурсов,Kaynakların varışı bekleniyor,Venter på at resourcerne ankommer,,Väntar på resurser att komma fram,,,,資材の到着を待っている,等待资源到达,

COOKING.BREAD.DESCRIPTION,{{materialDescription}} bread,,{{materialDescription}}brot,{{materialDescription}} pain,{{materialDescription}} pane,"Pan {{materialDescription}} ",{{materialDescription}} pão,,,{{materialDescription}} Хлеб,{{materialDescription}} ekmek,{{materialDescription}} brød,,{{MaterialDescription}} bröd,,,,{{materialDescription}}のパン,{{materialDescription}}面包,
COOKING.DUAL_INGREDIENT.DESCRIPTION,{{materialOne}} and {{materialTwo}},,{{materialOne}} und {{materialTwo}},{{materialOne}} et {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} y {{materialTwo}},{{materialOne}} e {{materialTwo}},{{materialOne}} e {{materialTwo}},,{{materialOne}} и {{materialTwo}},{{materialOne}} ve {{materialTwo}},{{materialOne}} og {{materialTwo}},,{{MaterialAlone}} och {{MaterialTwo}},,,,{{materialOne}} と {{materialTwo}},{{materialOne}}和{{materialTwo}},
COOKING.RATION.DESCRIPTION,{{materialDescription}} ration,,{{materialDescription}}ration,,,,,,,,,{{materialDescription}} ration,,,,,,,{{materialDescription}}配给粮,
