KEY,NOTES,ENGLISH,SPANISH
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Intestinos
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Riñón
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Pulmón
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Reventado
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Daño grave en
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Daño leve en
BODY_STRUCTURE.PAW,,Paw,Zarpa
BODY_STRUCTURE.RIGHT-ARM,,Right arm,Brazo derecho
BODY_STRUCTURE.RIGHT-HAND,,Right hand,Mano derecha
BODY_STRUCTURE.TORSO,,Chest,Pecho
BODY_STRUCTURE.TRUNK,,Trunk,Torso

BONE.BONE,,Bone,Hueso

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Filete de carpa
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Filetes de carpa
CARCASS.GROUP,,Corpses,Cadáveres
CARCASS.HIDE.NOUN,,Hide,Piel
CARCASS.HIDE.PLURAL,,Hides,Pieles
CARCASS.MEAT.LARGE,,Meat (large),Carne (grande)
CARCASS.MEAT.MEDIUM,,Meat (medium),Carne (mediana)
CARCASS.MEAT.SMALL,,Meat (small),Carne (pequeña)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Filete de perca
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Filetes de perca
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Filete de lucio
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Filetes de lucio

CLOTH.BRONZED_HEMP,,Hemp,Cáñamo bronceado
CLOTH.HEMP-LINEN,,Hemp,Cáñamo
CLOTH.LIGHT_HEMP,,Hemp,Cáñamo claro
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Paño de tabaco

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,Huyendo del combate
COMBAT.DESCRIPTION.GENERIC,,In combat,En combate
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},En combate contra {{targetDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Construcción de {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}} necesarios{{\n}}{{numAvailable}} disponibles{{\n}}{{numAssigned}} asignados
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} se producen a partir de {{inputItemTypes}} y {{lastInputItemType}} por un {{profession}} (requiere {{furnitureType}}).
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} se hacen a partir de {{lastInputItemType}} por un {{profession}} (requiere {{furnitureType}}).
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Eliminando otros objetos
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Hay elementos que deben ser retirados del área de construcción de este mueble antes de que pueda progresar.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Esperando a que haya disponibles más {{itemDescription.plural}} {{materialType}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,En construcción
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Esperando a que lleguen los recursos

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,Pan {{materialDescription}}
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} y {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,Ración de {{materialDescription}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Sopa de {{materialDescription}}
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} y {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Horneando
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Forjando
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,Tallando hueso
CRAFTING_TYPE.CARPENTRY,,Carpentry,Fabricando
CRAFTING_TYPE.CARVING_VERB,,Carving,Tallando
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Destilando coque
CRAFTING_TYPE.FERMENTING,,Fermenting,Fermentando
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,Añadiendo detalles
CRAFTING_TYPE.FLETCHING,,Fletching,Emplumando
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,Trabajando el cuero
CRAFTING_TYPE.MALTING,,Malting,Malteando
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Cociendo malta
CRAFTING_TYPE.MILLING,,Milling,Moliendo
CRAFTING_TYPE.MINTING,,Minting,Acuñando
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Machacando mineral
CRAFTING_TYPE.SMELTING,,Smelting,Fundiendo
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Esculpiendo
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,Curtiendo pieles
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,Forjando armas
CRAFTING_TYPE.WEAVING,,Weaving,Tejiendo
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Talando
CRAFTING_TYPE.WORT_BREWING,,Brewing,Elaborando

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{bodyPart}} {{damageType}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{bodyPart}} {{discriminator}} {{damageType}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{race.noun}} {{gender.adjective}}
CREATURE.STATUS.BLINDED,,Blinded,Cegado
CREATURE.STATUS.DEAD,,Dead,Muerto

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infestado por plaga
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,¡Este cultivo ha sido afectado por un número excesivo de áfidos y otros insectos que necesitan ser eliminados por un {{PROFESSION.FARMER}} antes de que pueda florecer de nuevo. ¡No eliminar las plagas a tiempo podría implicar que este cultivo muera!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,Progreso hasta la cosecha ({{progress}}%)
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,Esta planta no ha tenido acceso a agua durante mucho tiempo y ha parado de crecer
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,Esta planta no ha sido regada y está creciendo lentamente
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,Puedes irrigar tus cultivos con un canal de riego a 2 casillas de distancia.
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Esta planta ha sido regada recientemente y está creciendo rápidamente

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Abrasado
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Daño orgánico crítico
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Desprendimiento de escombros
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Deshidratación
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Agotamiento
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,Heridas múltiples
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxicación alimentaria
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Hipotermia
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,se dió por vencido
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Hemorragia interna
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,heridas de combate
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,alguien
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Inanición
DEATH_REASON.SUFFOCATION,,Suffocation,Asfixia
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Circunstancias misteriosas

EARTH.DIRT,,Dirt,Tierra
EARTH.GRASS,,Grass,Hierba

EFFECT.FIRE,When the player selects a fire by itself,Fire,Fuego

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Calcinado por el fuego
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,Destruido en combate
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Destruido por exposición prolongada a las lluvias

FACTION.HOSTILE_INVASION,,Hostile Invader,Invasor hostil
FACTION.MERCHANTS,,Merchant,Mercader
FACTION.MONSTERS,,Monster,Monstruo
FACTION.PIRATES,,Pirate,
FACTION.SETTLEMENT,,Settler,Colono
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,Animal domesticado
FACTION.WILD_ANIMALS,,Wild Animal,Animal salvaje

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Canal de riego ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,Los canales de riego proporcionan acceso al agua a los cultivos a una distancia de hasta dos casillas. Construye una bomba de agua y conecta los canales de riego a la bomba usando tuberías.
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Vacío
FLOOR.CHANNEL.STATE.FULL,,Full,Lleno
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Medio lleno
FLOOR.COBBLESTONE,,Cobblestone,Adoquines
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Tierra
FLOOR.GRASS,,Grass,Hierba
FLOOR.GRAVEL,,Gravel,Grava
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),Tubería de {{material}} ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - Energía disponible: {{powerAmount}}
FLOOR.RIVER,,River,Río
FLOOR.ROUGH_STONE,,Rough stone floor,Suelo de roca desnuda
FLOOR.SNOW,,Fallen snow,Nieve
FLOOR.STONE_PAVING,,Stone paving,Adoquinado
FLOOR.STONE_SLAB,,Stone slab,Enlosado
FLOOR.TILLED_EARTH,,Tilled earth,Tierra labrada
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexplorado
FLOOR.WOODEN,,Wooden floorboards,Suelo laminado de madera

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Panroca
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Se trata de un pan infamemente duro. Es prácticamente incomestible y está tan duro que tarda mucho tiempo en enmohecerse. Una vez, el explorador humano J. A. Moffatt describió el comerlo como 'similar a masticar grava que ha sido dragada de un pantano'. Afortunadamente, a la mayoría de los enanos no les importa."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Trigo

FUEL.SACK,,Fuel,Combustible
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Se requiere combustible en la producción de metal, tanto para la {{Furniture.BLOOMERY_FURENT}} como para la {{Furniture.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,Diana de arquería
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,Los militares practicarán aquí sus habilidades de combate a distancia hasta el nivel 50.
FURNITURE.ARMOUR_STAND,,Armour stand,Estantería de armaduras
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,Se utilza para almacenar armaduras.
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,Estación de artesanía.
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,Una estación de trabajo para la fabricación de objetos complejos producidos por un {{PROFESSION.ARTISAN}}.
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Encimera de panadero
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} trabaja aquí para convertir {{RESOURCE.FLOUR.SACK.PLURAL}} en {{INGREDIENT.DOUGH}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Horno de panadería
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} hornea hogazas de pan aquí a partir de {{INGREDIENT.DOUGH}} preparada.
FURNITURE.BEER_TAPPER,,Beer tapper,Grifo de cerveza
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Hay cerveza disponible
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,El barril de cerveza está en camino
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,¡La cerveza se ha agotado!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),A la espera (no hay cerveza disponible)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,La {{LIQUID.BEER}} se sirve aquí.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Horno de copela
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Un {{PROFESSION.BLACKSMITH}} utiliza este horno manual para convertir {{RESOURCE.ORE.CRUSHED.PLURAL}} y {{FUEL.SACK}} en {{RESOURCE.METAL.INGOT.PLURAL}} {{MATERIAL_TYPE.METAL.ADJECTIVE}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,Banco de tallado de hueso
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,Se utiliza para fabricar objetos a partir de hueso.
FURNITURE.BREW_KETTLE,,Brew kettle,Olla de cocción
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Se usa para producir el mosto cervecero (cerveza sin fermentar) usando {{VEGETABLE.HOPS}} y mosto de malta de la {{FURNITURE.MASH_TUN}}.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Encimera de carnicero
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Aquí se despiezan pescados y animales para obtener su carne.
FURNITURE.BUYING_PALLET,,Buying pallet,
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Mesa de trabajo de carpintero
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","La mayoría de los artículos y herramientas de madera se producen aquí, como {{PRODUCT.BUCKET.PLURAL}} y {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldero
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Un caldero se usa para servir una gran cantidad de sopa a los colonos hambrientos. La sopa se produce en una {{ROOMS.KITCHEN}} antes de ser trasladada a un {{ROOMS.FEASTING_HALL}} para servir.
FURNITURE.CHAIR,,Chair,Silla
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,Los colonos se pueden sentar aquí mientras usan la {{FURNITURE.FEASTING_TABLE}}.
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Pira de carbón
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Se trata de una pila de {{RESOURCE.LOGS.PLURAL}} cubierta con {{MATERIAL_TYPE.EARTH}} y que se quema lentamente para producir {{ORE.CHARCOAL.NOUN}}, que luego se puede utilizar como {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Horno de coque
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Un horno de coque convierte {{ORE.BITUMINOUS_COAL.NOUN}} en {{ORE.COKE.NOUN}} para que pueda usarse como {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Progreso hasta la finalización: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progreso para completar la inoculación: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Progreso: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Esperando {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Esperando a ser llenado
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,A la espera de ser inoculado con germen de hongos
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,Mesa de asentar masas
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,Las masas pueden ser pasadas de la {{FURNITURE.BAKERS_WORKTOP}} a aquí para ser almacenadas hasta su uso en el {{FURNITURE.BAKING_OVEN}}.
FURNITURE.EXPORT_PALLET,,Export pallet,Pallet de salida
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,Utilízalo para determinar que objetos deben de ser retirados de la habitación.
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Mesa para banquetes
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Con una {{Furniture.CHAIR}} a su lado, tus colonos disfrutarán de sus comidas en esta mesa."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Cuba de fermentación
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,Aquí es donde se fermenta el {{LIQUID.HOPPED_WORT}} para producir {{LIQUID.BEER}}.
FURNITURE.FISH_BARREL,,Fish barrel,Barril de pescado
