KEY,NOTES,ENGLISH,PORTUGUESE
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,
CRAFTING_TYPE.WEAVING,,Weaving,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},
CREATURE.STATUS.BLINDED,,Blinded,
CREATURE.STATUS.DEAD,,Dead,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Atacado por pragas
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Esta cultura foi aflita por um número excessivo de pulgões e outros insetos que precisam ser removidos por um {{PROFISSION.FARMER}} antes que possa florescer novamente. Não remover as pragas no tempo pode significar que esta colheita morre!
CROP.DESCRIPTION,,{{materialType.noun}} plant,Planta {{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Detritos caindo
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Desidratação
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Exaustão
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxicação alimentar
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Inanição
DEATH_REASON.SUFFOCATION,,Suffocation,
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Circunstâncias misteriosas

EARTH.DIRT,,Dirt,Sujeira
EARTH.GRASS,,Grass,Erva

EFFECT.FIRE,When the player selects a fire by itself,Fire,

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,

FACTION.HOSTILE_INVASION,,Hostile Invader,
FACTION.MERCHANTS,,Merchant,
FACTION.MONSTERS,,Monster,
FACTION.SETTLEMENT,,Settler,
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,
FACTION.WILD_ANIMALS,,Wild Animal,

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,
FLOOR.CHANNEL.STATE.EMPTY,,Empty,
FLOOR.CHANNEL.STATE.FULL,,Full,
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,
FLOOR.COBBLESTONE,,Cobblestone,Pedra
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terra
FLOOR.GRASS,,Grass,Erva
FLOOR.GRAVEL,,Gravel,Gravilha
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},
FLOOR.RIVER,,River,Rio
FLOOR.ROUGH_STONE,,Rough stone floor,Chão de pedra
FLOOR.SNOW,,Fallen snow,
FLOOR.STONE_PAVING,,Stone paving,
FLOOR.STONE_SLAB,,Stone slab,Laje de pedra
FLOOR.TILLED_EARTH,,Tilled earth,Terra lavrada
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexplorado
FLOOR.WOODEN,,Wooden floorboards,

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pão de Rocha
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Este é um pão infame duro que é tão duro e praticamente não comestível que leva muito tempo para ficar moldado. O explorador humano J. A. Moffatt descreveu uma vez comê-lo como “semelhante a mastigar cascalho que foi dragado de um pântano”. Felizmente, a maioria dos anões não parecem se importar."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Trigo

FUEL.SACK,,Fuel,Combustível
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","O combustível é necessário na produção de metal, tanto pelo {{MOBILITURE.BLOOMERY_FURNE}} e pelo {{MOBILITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here.,
FURNITURE.ARMOUR_STAND,,Armour stand,
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bancada de padeiro
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Um {{PROFISSION.CHEF}} trabalha aqui para transformar {{RESOURCE.FLOUR.SACK.PLURAL} em {{INGREIENT.DASHY}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Forno de padaria
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Um {{PROFISSION.CHEF}} assa pães aqui usando {{INGREIENT.DATHY}} preparados.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Forno de Bloomery
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Um {{PROFISSION.BLACKSMITH}} usa este forno operado à mão para transformar {{RESOURCE.ORE.CROSSHED.PLURAL}} e {{FUEL.SACK}} em {{MATERIAL_TYPE.METAL.ADJECTIVE}} {RESOURCE.METAL.INGOT.PLURAL}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Bancada de trabalho de carpintaria
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","A maioria dos itens e ferramentas de madeira são produzidos aqui, como {{PRODUCT.BUCKET.PLURAL}} e {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Caldeirão
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Um caldeirão é usado para servir uma grande quantidade de sopa para colonos famintos. A sopa é produzida em {{ROOMS.KITCHEN}} antes de ser movida para um {{ROOMS.FEASTING_HALL}} para servir.
FURNITURE.CHAIR,,Chair,Cadeira
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Grampo de carvão
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Esta é uma pilha de {{RESOURCE.LOGS.PLURAL} coberto com {{MATERIAL_TYPE.EARTH}} e lentamente queimado para produzir {{ORE.CHARCOAL.NOUN}}, que pode então ser usado como {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Forno de coque
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Um forno de coque converte {{ORE.BITUMINOUS_COAL.NOUN}} em {{ORE.COKE.NOUN}} para que possa ser usado como {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Progresso até a conclusão: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progresso para completar a inoculação: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Progresso para chocar o log do cogumelo: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Aguardando {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Esperando para ser preenchido
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Esperando para ser injetado com desova de cogumelos
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,
FURNITURE.EXPORT_PALLET,,Export pallet,
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Mesa de banquete
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Com um {{FURNITURE.CHAIR}} no lugar, seus colonos irão desfrutar de suas refeições nesta mesa."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FISH_BARREL,,Fish barrel,
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Moinho de Gristill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,A moagem de moagem {{VEGETABLE.WORT}} em {{RESOURCE.FLOUR.SACK.NOUN}} para que possa ser usada por um {{PROFISSION.CHEF}}.
FURNITURE.FORGE,,Forge,Forjar
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Aqui é onde um {{PROFISSION.BLACKSMITH}} trabalha com {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} e {FUEL.SACK}} para criar itens e armas.
FURNITURE.GRAVE,,Grave,Sepultura
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,Uma sepultura cavada às pressas para colonos falecidos que só pode ser colocada em {{MATERIAL_TYPE.EARTH}}.
FURNITURE.HITCHING_POST,,Hitching post,
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,
FURNITURE.IMPORT_PALLET,,Import pallet,
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,
FURNITURE.INVADER_CAMPFIRE,,Campfire,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Bancada de cozinha
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Uma área para armazenar ingredientes para um {{PROFISSION.CHEF}} para cozinhar sopa.
FURNITURE.LANTERN,,Lantern,Lanterna
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,Uma lanterna fornece luz — isso não tem um efeito no jogo.
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,
FURNITURE.LEDGER_TABLE,,Ledger table,
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,
FURNITURE.LOOM,,Loom,
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Diário de cogumelos
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.",Um tronco que foi injetado com {{INGREIENT.CUSHROOM.SPAWN.PLURAL}} para produzir várias colheitas de cogumelos deliciosos e suculentos.
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Tanque de choque
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.","Após a inoculação, um {{MOBILITURE.MUSHROOM_LOG}} é colocado neste tanque para “chocar” a colônia de cogumelos e incentivá-la a cultivar cogumelos."
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Estação de trituração de minério
