KEY,NOTES,ENGLISH,DANISH
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,Første til venstre
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,Første til højre
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,Fjerde til venstre
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,Fjerde til højre
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,Venstre i front
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Højre i front
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Venstre
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Højre
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,Anden til venstre
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,Anden til højre
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,Tredje til venstre
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,Tredje til højre
BODY_STRUCTURE.FOOT,,Foot,Fod
BODY_STRUCTURE.HAND,,Hand,Hånd
BODY_STRUCTURE.HEAD,,Head,Hoved
BODY_STRUCTURE.HOOF,,Hoof,Hov
BODY_STRUCTURE.LEFT-ARM,,Left arm,Venstre arm
BODY_STRUCTURE.LEFT-HAND,,Left hand,Venstre hånd
BODY_STRUCTURE.LEG,,Leg,Ben
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Hjerne
BODY_STRUCTURE.ORGAN.EYE,,Eye,Øje
BODY_STRUCTURE.ORGAN.HEART,,Heart,Hjerte
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Indvolde
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Nyre
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Lunge
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Ødelagt
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Hårdt skadet
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Let skadet
BODY_STRUCTURE.PAW,,Paw,Pote
BODY_STRUCTURE.RIGHT-ARM,,Right arm,Højre arm
BODY_STRUCTURE.RIGHT-HAND,,Right hand,Højre hånd
BODY_STRUCTURE.TORSO,,Chest,Bryst
BODY_STRUCTURE.TRUNK,,Trunk,Bughule

BONE.BONE,,Bone,Knogle

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Karpefilet
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Karpefileter
CARCASS.GROUP,,Corpses,Lig
CARCASS.HIDE.NOUN,,Hide,Skind
CARCASS.HIDE.PLURAL,,Hides,Skind
CARCASS.MEAT.LARGE,,Meat (large),Kød (Stort)
CARCASS.MEAT.MEDIUM,,Meat (medium),Kød (Mellem)
CARCASS.MEAT.SMALL,,Meat (small),Kød (Lille)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Aborrefilet
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Aborrefileter
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Geddefilet
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Geddefileter

CLOTH.BRONZED_HEMP,,Hemp,Bronzeret hamp
CLOTH.HEMP-LINEN,,Hemp,Hamplinned
CLOTH.LIGHT_HEMP,,Hemp,Let hamp
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Tobaksstof

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,Flygter fra kamp
COMBAT.DESCRIPTION.GENERIC,,In combat,I kamp
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},I kamp med

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Bygning af {{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}} nødvendig{{\n}}{{numAvailable}} tilgængelig{{\n}}{{numAssigned}} tildelt
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} er lavet af {{inputItemTypes}} og {{lastInputItemType}} ved {{furnitureType}} af {{profession}}.
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} er lavet af {{lastInputItemType}} ved {{furnitureType}} af {{profession}}.
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Fjerner andre genstande
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,"Der er ting, der skal flyttes fra dette møbels byggeplads, før konstruktionen kan fortsætte."
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Venter på mere {{materialType}} {{itemDescription.plural}} bliver tilgængeligt
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,Under opbygning
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Venter på at resourcerne ankommer

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} brød
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} og {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,{{materialDescription}} ration
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}} suppe
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} og {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Bagning
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Smedning
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,Knoglebearbejdning
CRAFTING_TYPE.CARPENTRY,,Carpentry,Snedkeri
CRAFTING_TYPE.CARVING_VERB,,Carving,Udskærer
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Koksbagning
CRAFTING_TYPE.FERMENTING,,Fermenting,Gæring
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,Findetaljering
CRAFTING_TYPE.FLETCHING,,Fletching,Pilefletning
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,Læderbearbejning
CRAFTING_TYPE.MALTING,,Malting,Maltning
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Maltmæskning
CRAFTING_TYPE.MILLING,,Milling,Maler
CRAFTING_TYPE.MINTING,,Minting,Udmøntning
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Malmknusning
CRAFTING_TYPE.SMELTING,,Smelting,Smeltning
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Stenhugning
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,Skindgarvning
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,Våbensmedning
CRAFTING_TYPE.WEAVING,,Weaving,Vævning
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Træhugning
CRAFTING_TYPE.WORT_BREWING,,Brewing,Brygning

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,Blændet
CREATURE.STATUS.DEAD,,Dead,Død

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Ramt af skadedyr
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Denne afgrød er ramt af en stor mængde bladlus og andre insekter, som skal fjernes af en {{PROFESSION.FARMER}} før den kan blomstre igen. Hvis ikke dette bliver gjort i tide, kan planten dø!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}} plante
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,Fremskridt mod høst ({{progress}}%):
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,"Denne plante har ikke haft adgang til vand i lang tid, og er derfor holdt op med at gro"
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,"Denne plante er ikke blevet vandet, og gror derfor langsomt"
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,"Du kan vande dine afgrøder med en kanal indeholdende vand, der er 2 felter bred."
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Denne plante er blevet vandet for nyligt og gror derfor hurtigt

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Brændt ihjel
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Kritisk organskade
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Faldene sten
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Dehydrering
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Udmattelse
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,Omfattende skader
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Madforgiftning
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Udsættelse for frostvejr
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,at have opgivet livet
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Indre blødninger
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,sår tildelt i kamp
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,af en ukendt dræber
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Sult
DEATH_REASON.SUFFOCATION,,Suffocation,Kvælning
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Mystiske omstændigheder

EARTH.DIRT,,Dirt,Jord
EARTH.GRASS,,Grass,Græs

EFFECT.FIRE,When the player selects a fire by itself,Fire,Ild

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Ødelagt af ild
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,Ødelagt under kamp
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Ødelagt af regn over længere tid

FACTION.HOSTILE_INVASION,,Hostile Invader,Fjendtlig angriber
FACTION.MERCHANTS,,Merchant,Handelsmand
FACTION.MONSTERS,,Monster,Monster
FACTION.PIRATES,,Pirate,
FACTION.SETTLEMENT,,Settler,Bosætter
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,Tæmmet dyr
FACTION.WILD_ANIMALS,,Wild Animal,Vildt dyr

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Vandingskanal ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,Vandingskanal giver adgang til vand for alle planter indenfor 2 felter. Byg en vandpumpe og forbind den til kanalerne med rør.
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Tom
FLOOR.CHANNEL.STATE.FULL,,Full,Fuld
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Delvist fyldt
FLOOR.COBBLESTONE,,Cobblestone,Brosten
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Jord
FLOOR.GRASS,,Grass,Græs
FLOOR.GRAVEL,,Gravel,Grus
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}} rør ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - Tilgængelig kraft: {{powerAmount}}
FLOOR.RIVER,,River,Flod
FLOOR.ROUGH_STONE,,Rough stone floor,Ujævnt stengulv
FLOOR.SNOW,,Fallen snow,Sne
FLOOR.STONE_PAVING,,Stone paving,Stenbelagt
FLOOR.STONE_SLAB,,Stone slab,Stenplade
FLOOR.TILLED_EARTH,,Tilled earth,Pløjet jord
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Uudforsket
FLOOR.WOODEN,,Wooden floorboards,Trægulvplader

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Stenbrød
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Dette er et berygted hårdt brød, der er så hårdt og uspiseligt, at det tager lang tid før det mugner. Den menneskelige opdagelsesrejsende J. A. Moffatt beskrev det engang, 'som at spise grus udgravet fra en sump'. Heldigvis virker de fleste dværge til at være ligeglade."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Hvede

FUEL.SACK,,Fuel,Brændstof
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Brændstof er nødvendigt I produktionen af metal, både af {{FURNITURE.BLOOMERY_FURNACE}} og {{FURNITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,Mål til bueskydning
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,Militære bosættere vil her træne deres fjernkampsegenskaber op til niveau 50.
FURNITURE.ARMOUR_STAND,,Armour stand,Rustningsstativ
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,Bruges til at opstille rustninger
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,Håndværkers arbejdsstation
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,En arbejdsstation til indviklede ting lavet af {{PROFESSION.ARTISAN}}.
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bagers bordplade
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,"En {{PROFESSION.CHEF}} arbejder her, for at lave {{RESOURCE.FLOUR.SACK.PLURAL}} om til {{INGREDIENT.DOUGH}}."
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Bagers ovn
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,En {{PROFESSION.CHEF}} bager her brød ved at bruge {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper,Ølhane
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Øl er tilgængeligt
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,En øltønde er på vej
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Alt øl er væk!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),Inaktiv (intet øl tilgængeligt)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,Det er her gæret {{LIQUID.BEER}} bliver serveret fra.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Støbejernsovn
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,En {{PROFESSION.BLACKSMITH}} bruger denne håndbetjente ovn til at lave {{RESOURCE.ORE.CRUSHED.PLURAL}} og {{FUEL.SACK}} om til {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,Knoglebearbejdningsbænk
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,Denne bliver brugt til at lave ting ud af knogler.
FURNITURE.BREW_KETTLE,,Brew kettle,Bryggekedel
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Denne kedel bliver brugt til at lave den færdige urt (ugæret øl) med {VEGETABLE.HOPS}} og urter fra {{FURNITURE.MASH_TUN}}.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Slagters bordplade
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Dyr bliver her lavet om til brugbart kød.
FURNITURE.BUYING_PALLET,,Buying pallet,
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Tømrers arbejdsbord
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","De fleste trægenstande og værktøjer bliver produceret her, såsom {{PRODUCT.BUCKET.PLURAL}} og {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kogekedel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,En kogekedel bliver brugt til at servere store mængder suppe til bosætterne. Suppen bliver tilberedt i et {{ROOMS.KITCHEN}} før den bliver bragt hen til {{ROOMS.FEASTING_HALL}} til servering.
FURNITURE.CHAIR,,Chair,Stol
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,Bosætterne kan sidde her imens de bruger {{FURNITURE.FEASTING_TABLE}}.
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Mile
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Dette er en bunke af {{RESOURCE.LOGS.PLURAL}} tildækket af {{MATERIAL_TYPE.EARTH}}, som langsomt bliver brændt, for at producere {{ORE.CHARCOAL.NOUN}}, som så kan bruges til {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Koksovn
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"En koksovn konverterer {{ORE.BITUMINOUS_COAL.NOUN}} til {{ORE.COKE.NOUN}}, så det kan bruges som {{FUEL.SACK}}."
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Fremskridt mod færdig: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Fremskridt mod færdig podning: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Fremskridt: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Venter på {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Venter på at blive fyldt
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Venter på at blive indsprøjtet med svampesporer
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,Dejhævningsbord
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,"Dej kan tages fra {{FURNITURE.BAKERS_WORKTOP}}, så det kan lagres her, før det bliver lagt i {{FURNITURE.BAKING_OVEN}}."
FURNITURE.EXPORT_PALLET,,Export pallet,Eksportpalle
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,Brug denne til at bestemme hvilke ting der skal eksporteres fra rummet.
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Festbord
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",Med {{FURNITURE.CHAR}} placeret vil dine bosættere nyde deres måltid ved bordet.
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Gæringstank
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,Det er her {{LIQUID.HOPPED_WORT}} bliver lavet om til {{LIQUID.BEER}}.
FURNITURE.FISH_BARREL,,Fish barrel,Fisketønde
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,Denne giver god lagring af dine fangede fisk til fremtidig tilberedning.
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,"Pilefletters arbejdsbænk "
