KEY,NOTES,ENGLISH,GERMAN
BODY_STRUCTURE.LEFT-HAND,,Left hand,Linke Hand
BODY_STRUCTURE.LEG,,Leg,Bein
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Gehirn
BODY_STRUCTURE.ORGAN.EYE,,Eye,Auge
BODY_STRUCTURE.ORGAN.HEART,,Heart,Herz
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Innereien
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Niere
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Lunge
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Zerstört
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Schwere Verletzung an
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Leichte Verletzung an
BODY_STRUCTURE.PAW,,Paw,Pfote
BODY_STRUCTURE.RIGHT-ARM,,Right arm,Rechter Arm
BODY_STRUCTURE.RIGHT-HAND,,Right hand,Rechte Hand
BODY_STRUCTURE.TORSO,,Chest,Brust
BODY_STRUCTURE.TRUNK,,Trunk,Rumpf

BONE.BONE,,Bone,Knochen

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Karpfenfilet
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Karpfenfilets
CARCASS.GROUP,,Corpses,Leichen
CARCASS.HIDE.NOUN,,Hide,Haut
CARCASS.HIDE.PLURAL,,Hides,Häute
CARCASS.MEAT.LARGE,,Meat (large),Fleisch (groß)
CARCASS.MEAT.MEDIUM,,Meat (medium),Fleisch (mittel)
CARCASS.MEAT.SMALL,,Meat (small),Fleisch (klein)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Barschfilet
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Barschfilets
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Hechtfilet
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Hechtfilets

CLOTH.BRONZED_HEMP,,Hemp,Hanf
CLOTH.HEMP-LINEN,,Hemp,Hanf
CLOTH.LIGHT_HEMP,,Hemp,Hanf
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Tabaklappen

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,Flieht aus dem Kampf
COMBAT.DESCRIPTION.GENERIC,,In combat,Im Kampf
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},Im Kampf mit {{targetDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Stellt {{furnitureType.noun}} aus {{materialType}} her
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}} benötigt{{\n}}{{numAvailable}} verfügbar{{\n}}{{numAssigned}} zugewiesen
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} wird von {{profession}} an {{furnitureType}} hergestellt aus {{inputItemTypes}} und {{lastInputItemType}}.
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} wird von {{profession}} an {{furnitureType}} hergestellt aus {{lastInputItemType}}.
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Entfernt andere Gegenstände
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Es müssen Gegenstände aus dem Konstruktionsbereich entfernt werden bevor mit dem Bau fortgefahren werden kann.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Wartet auf mehr {{itemDescription.plural}} aus {{materialType}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,Wird gebaut
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Wartet auf Materialien

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}}brot
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} und {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,{{materialDescription}}ration
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Suppe aus {{materialDescription}}
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} und {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Backen
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Schmieden
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,Knochenbearbeitung
CRAFTING_TYPE.CARPENTRY,,Carpentry,Schreinern
CRAFTING_TYPE.CARVING_VERB,,Carving,Schnitzen
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Verkoken
CRAFTING_TYPE.FERMENTING,,Fermenting,Gären
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,Detaillierung
CRAFTING_TYPE.FLETCHING,,Fletching,Befiedern
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,Lederarbeiten
CRAFTING_TYPE.MALTING,,Malting,Mälzen
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Maischen
CRAFTING_TYPE.MILLING,,Milling,Mahlen
CRAFTING_TYPE.MINTING,,Minting,Prägung
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Erzzerkleinerung
CRAFTING_TYPE.SMELTING,,Smelting,Schmelzen
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Steinmetzarbeiten
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,Gerben
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,Waffenschmieden
CRAFTING_TYPE.WEAVING,,Weaving,Weben
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Holzhacken
CRAFTING_TYPE.WORT_BREWING,,Brewing,Brauen

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,Geblendet
CREATURE.STATUS.DEAD,,Dead,"Tot "

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Von Schädlingen befallen
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,"Diese Pflanze ist von einer hohen Anzahl an Blattläusen und anderen Insekten befallen, die von einem Bauern entfernt werden müssen bevor sie wieder gedeihen kann. Die Pflanze kann sterben wenn die Schädlinge nicht rechtzeitig entfernt werden!"
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}pflanze
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,Fortschritt bis zur Ernte ({{progress}}%):
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,Diese Pflanze hatte lange keinen Zugang zu Wasser und hat aufgehört zu wachsen
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,Diese Pflanze wurde nicht bewässert und wächst langsam
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,Du kannst deine Pflanzen mit einem Wasserkanal innerhalb 2 Kacheln bewässern.
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Diese Pflanze wurde vor kurzem gegossen und wächst schnell

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Verbrannt
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Kritischer Organschaden
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Fallende Trümmer
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Verdurstet
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Erschöpfung
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,Erhebliche Verletzungen
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Lebensmittelvergiftung
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Frostwetter ausgesetzt
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,Hat das Leben aufgegeben
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Inneren Blutungen
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,Verletzungen aus dem Kampf
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,unbekannt
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Verhungert
DEATH_REASON.SUFFOCATION,,Suffocation,Erstickung
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Mysteriöse Umstände

EARTH.DIRT,,Dirt,Erde
EARTH.GRASS,,Grass,Gras

EFFECT.FIRE,When the player selects a fire by itself,Fire,Feuer

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Zerstört durch Feuer
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,Zerstört im Kampf
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Zerstört durch längere Einwirkung von Regen

FACTION.HOSTILE_INVASION,,Hostile Invader,Feindlicher Eindringling
FACTION.MERCHANTS,,Merchant,Händler
FACTION.MONSTERS,,Monster,Monster
FACTION.SETTLEMENT,,Settler,Siedler
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,Domestiziertes Tier
FACTION.WILD_ANIMALS,,Wild Animal,Wildtier

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Bewässerungskanal ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,Bewässerungskanäle bieten den Pflanzen innerhalb von 2 Feldern Zugang zu Wasser. Baue eine Wasserpumpe und verbinde die Kanäle mit Rohren damit.
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Leer
FLOOR.CHANNEL.STATE.FULL,,Full,Voll
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Teilweise gefüllt
FLOOR.COBBLESTONE,,Cobblestone,Pflasterstein
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Erde
FLOOR.GRASS,,Grass,Gras
FLOOR.GRAVEL,,Gravel,Kies
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}}rohr ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - Verfügbare Leistung: {{powerAmount}}
FLOOR.RIVER,,River,Fluss
FLOOR.ROUGH_STONE,,Rough stone floor,Grober Steinboden
FLOOR.SNOW,,Fallen snow,Gefallener Schnee
FLOOR.STONE_PAVING,,Stone paving,Steinpflaster
FLOOR.STONE_SLAB,,Stone slab,Steinplatte
FLOOR.TILLED_EARTH,,Tilled earth,Ackerboden
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Nicht erkundet
FLOOR.WOODEN,,Wooden floorboards,Holzdielen

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Steinbrot
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Dies ist ein berüchtigt zähes Brot, das so hart und ungenießbar ist, dass es eine sehr lange Zeit braucht bis es schimmelt. Der menschliche Forscher J.A. Moffatt beschrieb den Verzehr einmal damit “Kieselsteine zu kauen, die aus einem Sumpf stammen”. Glücklicherweise scheinen die meisten Zwerge zufrieden damit zu sein."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Weizen

FUEL.SACK,,Fuel,Brennstoff
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Brennstoff wird für die Herstellung von Metall benötigt, sowohl von dem Brennofen als auch der Schmiede."

FURNITURE.ARCHERY_TARGET,,Archery target,Zielscheibe
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,Militärische Siedler üben hier ihre Fernkampffähigkeiten.
FURNITURE.ARMOUR_STAND,,Armour stand,Rüstungsständer
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,Zum ablegen von Rüstungen
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,Handwerksarbeitsplatz
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,"Ein Handwerksarbeitsplatz für komplizierte Gegenstände, die von einem Handwerker hergestellt werden."
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Bäckerarbeitsplatte
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,"Ein Koch arbeitet hier, um Mehl zu Teig zu verarbeiten."
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Backofen
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Ein Koch backt hier Brotlaibe aus Teig.
FURNITURE.BEER_TAPPER,,Beer tapper,Zapfhahn
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Bier ist vorhanden
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Ein Bierfass ist unterwegs
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Das Bier ist alle!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),Untätig (kein Bier vorhanden)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,Von hier wird fermentiertes Bier serviert.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Brennofen
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,"Ein Schmied benutzt diese handbetriebene Schmiede, um zerkleinertes Erz und Brennstoff zu Metallbarren zu verarbeiten."
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,Werkbank für Knochenbearbeitung
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,Damit lassen sich Gegenstände aus Knochen herstellen.
FURNITURE.BREW_KETTLE,,Brew kettle,Braukessel
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Aus Hopfen und Stammwürze vom Maischebottich wird hier die Bierwürze (ungegärtes Bier) hergestellt.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Metzgerei Arbeitsplatte
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Hier werden Fisch- und Tierkadaver zu verwertbarem Fleisch verarbeitet.
FURNITURE.BUYING_PALLET,,Buying pallet,
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Schreinerwerkbank
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","Die meisten Gegenstände und Werkzeuge aus Holz, wie Eimer und Fässer, werden hier hergestellt."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Ein Kessel wird dazu benutzt eine große Menge Suppe für hungrige Siedler herzustellen. Die Suppe wird in einer Küche zubereitet ehe sie zum Servieren in den Speisesaal gebracht wird.
FURNITURE.CHAIR,,Chair,Stuhl
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,"Hier können Siedler sitzen, wenn sie die Festtafel benutzen."
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Kohlenmeiler
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Dies ist ein Haufen Stämme bedeckt mit Erde, der langsam abgebrannt wird um Holzkohle zu produzieren, welche dann als Brennstoff dient."
FURNITURE.COKE_OVEN,,Coke oven,Kokerei
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Eine Kokerei wandelt Steinkohle in Koks um, so dass es als Brennstoff benutzt werden kann."
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} aus {{materialType}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Fortschritt bis zur Fertigstellung: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Fortschritt bis zur kompletten Beimpfung: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Fortschritt: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Wartet auf {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Wartet darauf gefüllt zu werden
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Wartet darauf mit Pilzkultur injiziert zu werden
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,Teiggärtisch
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,"Teig wird von der Bäckereiarbeitsplatte genommen und hier gelagert, bevor er in den Ofen kommt."
FURNITURE.EXPORT_PALLET,,Export pallet,Export-Palette
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,"Hier wird festgelegt, welche Gegenstände aus dem Raum exportiert werden sollen."
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Festtafel
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",Mit platzierten Stühlen können deine Siedler ihre Mahlzeiten an diesem Tisch genießen.
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Gärtank
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,Hier wird Hopfenwürze zu Bier gegärt.
FURNITURE.FISH_BARREL,,Fish barrel,Fischfass
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,"Bewahre den gefangenen Fisch ordentlich auf, um ihn später zuzubereiten."
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,Pfeilmacher Werkbank
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,Dies ist eine Station zur Herstellung von Fernkampfwaffen und Munition.
