KEY,NOTES,ENGLISH,JAPANESE
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},{{targetPlant}}の害虫を駆除している
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},{{targetDescription}}を掘っている
ACTION.JOB.TILLING,,Tilling the earth,大地を耕している
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},{{targetDescription}}を満たしている
ACTION.KNOCKED_UNCONSCIOUS,,Knocked unconscious,意識を失っている
ACTION.MALTING.VERB,,Malting,溶融している
ACTION.PREPARATION.VERB,,Preparing,準備している
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,仕事を探している
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},{{tileDescription}}で眠っている
ACTION.STUNNED,,Stunned,スタンしている

ARMOUR.LEATHER,,Leather armour,
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,
ARMOUR.ORC.HEAVY,,Orc armour,
ARMOUR.ORC.LIGHT,,Leather orc armour,
ARMOUR.PLATE,,Plate armour,
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,

ASHES.NOUN,,Ash,灰

BODY_STRUCTURE.ABDOMEN,,Abdomen,腹部
BODY_STRUCTURE.ARM,,Arm,腕
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,出血:
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,骨折:
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,痣になっている:
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,破壊された:
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,後方左
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,後方右
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,前方左
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,前方右
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,左
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,右
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,
BODY_STRUCTURE.FOOT,,Foot,足
BODY_STRUCTURE.HAND,,Hand,手
BODY_STRUCTURE.HEAD,,Head,頭
BODY_STRUCTURE.HOOF,,Hoof,蹄
BODY_STRUCTURE.LEFT-ARM,,Left arm,
BODY_STRUCTURE.LEFT-HAND,,Left hand,
BODY_STRUCTURE.LEG,,Leg,脚
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,脳
BODY_STRUCTURE.ORGAN.EYE,,Eye,目
BODY_STRUCTURE.ORGAN.HEART,,Heart,心臓
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,腸
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,腎臓
BODY_STRUCTURE.ORGAN.LUNG,,Lung,肺
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,破壊された:
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,重傷:
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,軽傷:
BODY_STRUCTURE.PAW,,Paw,肉球
BODY_STRUCTURE.RIGHT-ARM,,Right arm,
BODY_STRUCTURE.RIGHT-HAND,,Right hand,
BODY_STRUCTURE.TORSO,,Chest,胸
BODY_STRUCTURE.TRUNK,,Trunk,

BONE.BONE,,Bone,骨

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,コイの切り身
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,コイの切り身
CARCASS.GROUP,,Corpses,死体
CARCASS.HIDE.NOUN,,Hide,
CARCASS.HIDE.PLURAL,,Hides,
CARCASS.MEAT.LARGE,,Meat (large),食肉(大)
CARCASS.MEAT.MEDIUM,,Meat (medium),食肉(中)
CARCASS.MEAT.SMALL,,Meat (small),食肉(小)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,パーチの切り身
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,パーチの切り身
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,マスの切り身
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,マスの切り身

CLOTH.BRONZED_HEMP,,Hemp,麻
CLOTH.HEMP-LINEN,,Hemp,麻
CLOTH.LIGHT_HEMP,,Hemp,麻
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,タバコの葉

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,
COMBAT.DESCRIPTION.GENERIC,,In combat,
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}(建築中)
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,邪魔なものを撤去している
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,何か構築の邪魔になるものがあるため、先にそれらを撤去する必要があります。
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available," {{materialType}} {{itemDescription.plural}} がより多く必要"
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,建築している
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,資材の到着を待っている

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}}のパン
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} と {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}}のスープ
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}",{{materialOne}}、 {{materialTwo}}と {{materialThree}}

CRAFTING_TYPE.BAKING,,Baking,粉からパンを焼く
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,金属製品を製造する
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,
CRAFTING_TYPE.CARPENTRY,,Carpentry,木製品を製造する
CRAFTING_TYPE.CARVING_VERB,,Carving,
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,石炭をコークスにする
CRAFTING_TYPE.FERMENTING,,Fermenting,ビールを発酵させる
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,
CRAFTING_TYPE.FLETCHING,,Fletching,弓矢を製造する
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,
CRAFTING_TYPE.MALTING,,Malting,モルツを加工する
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,モルツを糖化する
CRAFTING_TYPE.MILLING,,Milling,粉を挽く
CRAFTING_TYPE.MINTING,,Minting,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,鉱石を砕く
CRAFTING_TYPE.SMELTING,,Smelting,金属を製錬する
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,石を加工する
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,
CRAFTING_TYPE.WEAVING,,Weaving,布製品を製造する
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,丸太を加工する
CRAFTING_TYPE.WORT_BREWING,,Brewing,ビールを醸造する

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,盲目になっている
CREATURE.STATUS.DEAD,,Dead,死んでいる

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,害虫が発生しています
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,この作物には害虫が発生しており、{{PROFESSION.FARMER}}によって駆除されなければやがて枯死する可能性があります。
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,この植物は長い間水が与えられていないため、成長が止まっています
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,この植物は水が不足しており、成長が遅くなっています
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,水路を掘ることによって周囲2タイル分の土地を灌漑し、継続的に水を与え続けることができます。
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,この植物には十分な水が与えられており、成長速度が高まっています

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,熱傷
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,内蔵損傷
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,落下物
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,脱水症状
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,極度の疲労
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,食中毒
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,低体温症
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,生きることを諦めたこと
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,出血多量
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,飢餓
DEATH_REASON.SUFFOCATION,,Suffocation,窒息
DEATH_REASON.UNKNOWN,,Mysterious circumstances,不可思議な事態

EARTH.DIRT,,Dirt,土
EARTH.GRASS,,Grass,草地

EFFECT.FIRE,When the player selects a fire by itself,Fire,

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,火によって損壊
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,長期に渡って雨に晒されたことによる損壊

FACTION.HOSTILE_INVASION,,Hostile Invader,
FACTION.MERCHANTS,,Merchant,
FACTION.MONSTERS,,Monster,
FACTION.SETTLEMENT,,Settler,
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,
FACTION.WILD_ANIMALS,,Wild Animal,

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),灌漑水路 ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,灌漑水路は周囲2タイルの作物に水を供給することができます。汲み上げポンプを作り、パイプで水路と接続してください。
FLOOR.CHANNEL.STATE.EMPTY,,Empty,空
FLOOR.CHANNEL.STATE.FULL,,Full,満水
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,注水中
FLOOR.COBBLESTONE,,Cobblestone,石畳
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,土
FLOOR.GRASS,,Grass,草地
FLOOR.GRAVEL,,Gravel,砂利
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}}配管({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - 動力を{{powerAmount}}伝達中
FLOOR.RIVER,,River,川
FLOOR.ROUGH_STONE,,Rough stone floor,粗い岩の床
FLOOR.SNOW,,Fallen snow,積雪
FLOOR.STONE_PAVING,,Stone paving,敷石
FLOOR.STONE_SLAB,,Stone slab,石板
FLOOR.TILLED_EARTH,,Tilled earth,耕作地
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,未知
FLOOR.WOODEN,,Wooden floorboards,木の床

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,岩石パン
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,カビが生えることなく長期に渡って保存が可能であり、そしてまたほとんど噛み砕けないほどに堅い、悪名高いパンです。人間の探検家であるJ.A.モファットは、このパンを食べることを「沼の底から砂利を掘り出して噛むようなもの」と表現しました。幸いなことに、ほとんどのドワーフは気にすることなく食べます。
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,小麦

FUEL.SACK,,Fuel,燃料
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",燃料は{{FURNITURE.BLOOMERY_FURNACE}}と{{FURNITURE.FORGE}}を用いた金属加工に必要になります。

FURNITURE.ARCHERY_TARGET,,Archery target,
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here.,
FURNITURE.ARMOUR_STAND,,Armour stand,
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,パン焼き作業台
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}}が{{RESOURCE.FLOUR.SACK.PLURAL}}を{{INGREDIENT.DOUGH}}に加工するために必要です。
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,パン焼き窯
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}}が{{INGREDIENT.DOUGH}}を焼いてパンを作るために必要です。
FURNITURE.BEER_TAPPER,,Beer tapper,ビール注ぎ口
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,ビールが利用可能
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,ビール樽を輸送中
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,ビールがなくなりました
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),待機中(ビールがありません)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,発酵した{{LIQUID.BEER}}をグラスに注ぐ注ぎ口です。
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,製錬所
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,{{PROFESSION.BLACKSMITH}}は{{RESOURCE.ORE.CRUSHED.PLURAL}}と{{FUEL.SACK}}を投入し、{{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}を製錬します。
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,
FURNITURE.BREW_KETTLE,,Brew kettle,煮沸器
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,{{FURNITURE.MASH_TUN}}の麦汁に{{VEGETABLE.HOPS}}を加えて加熱し、煮沸済みの麦汁(すなわち、未発酵のビール)を作ります。
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,食肉加工台
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,魚や動物の死体を食料に加工します。
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,家具製造台
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",{{PRODUCT.BUCKET.PLURAL}}や{{PRODUCT.BARREL.PLURAL}}のような木製品を加工します。
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,大釜
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,入植者たちに大量のスープを提供する大釜です。{{ROOMS.KITCHEN}}で調理され、{{ROOMS.FEASTING_HALL}}に移されたものが食卓に供されます。
FURNITURE.CHAIR,,Chair,椅子
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,炭焼き所
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",{{MATERIAL_TYPE.EARTH}}で覆われた{{RESOURCE.LOGS.PLURAL}}の山です。火を付けて{{ORE.CHARCOAL.NOUN}}を生産でき、{{FUEL.SACK}}として利用できます。
FURNITURE.COKE_OVEN,,Coke oven,コークス窯
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,コークス窯は{{ORE.BITUMINOUS_COAL.NOUN}}を{{ORE.COKE.NOUN}}にすることができ、{{FUEL.SACK}}として使用できます。
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,進捗中:{{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,キノコを播種中:{{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,進捗中:{{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},{{itemType.noun}}の到着を待っている
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,充填されるまで待っている
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,キノコの播種を待っている
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,
FURNITURE.EXPORT_PALLET,,Export pallet,
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,饗宴の食卓
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",{{FURNITURE.CHAIR}}を配置すると、入植者はこのテーブルで食事を楽しみます。
FURNITURE.FERMENTATION_TANK,,Fermentation tank,発酵桶
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,{{LIQUID.HOPPED_WORT}}を{{LIQUID.BEER}}に変えるのに必要な桶です。
FURNITURE.FISH_BARREL,,Fish barrel,
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,弓矢製造台
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,粉挽き台
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,{{VEGETABLE.WHEAT}}を{{RESOURCE.FLOUR.SACK.NOUN}}にし、{{PROFESSION.CHEF}}の使用する食材にすることができる場所です。
FURNITURE.FORGE,,Forge,鍛冶台
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,{{PROFESSION.BLACKSMITH}}が{{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}と{{FUEL.SACK}}を使って武器や道具を作るための場所です。
FURNITURE.GRAVE,,Grave,墓
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,死んだ入植者のための急ごしらえの墓です。{{MATERIAL_TYPE.EARTH}}にのみ掘ることができます。
FURNITURE.HITCHING_POST,,Hitching post,
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,
FURNITURE.IMPORT_PALLET,,Import pallet,
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,
FURNITURE.INVADER_CAMPFIRE,,Campfire,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,調理台
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,スープを作るために{{PROFESSION.CHEF}}が作業を行う場所です。
FURNITURE.LANTERN,,Lantern,ランタン
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,ランタンは光を提供します。今の所、ゲーム内での効果はありません。
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,
FURNITURE.LEDGER_TABLE,,Ledger table,
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,
FURNITURE.LOOM,,Loom,織機
