KEY,NOTES,ENGLISH,FRENCH
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,Première gauche
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,Première droite
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,Quatrième gauche
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,Quatrième droite
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,Avant gauche
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,Avant droite
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,Gauche
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,Droite
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,Seconde gauche
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,Seconde droite
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,Troisième gauche
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,Troisième droite
BODY_STRUCTURE.FOOT,,Foot,Pied
BODY_STRUCTURE.HAND,,Hand,Main
BODY_STRUCTURE.HEAD,,Head,Tête
BODY_STRUCTURE.HOOF,,Hoof,Sabot
BODY_STRUCTURE.LEFT-ARM,,Left arm,Bras gauche
BODY_STRUCTURE.LEFT-HAND,,Left hand,Main gauche
BODY_STRUCTURE.LEG,,Leg,Jambe
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,Cerveau
BODY_STRUCTURE.ORGAN.EYE,,Eye,Oeil
BODY_STRUCTURE.ORGAN.HEART,,Heart,Coeur
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,Intestin
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,Rein
BODY_STRUCTURE.ORGAN.LUNG,,Lung,Poumon
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,Détruit
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,Lourdement abimé
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,Légèrement abimé
BODY_STRUCTURE.PAW,,Paw,Patte
BODY_STRUCTURE.RIGHT-ARM,,Right arm,Bras droit
BODY_STRUCTURE.RIGHT-HAND,,Right hand,Main droite
BODY_STRUCTURE.TORSO,,Chest,Torse
BODY_STRUCTURE.TRUNK,,Trunk,Tronc

BONE.BONE,,Bone,Os

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,Filet de carpe
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,Filets de carpe
CARCASS.GROUP,,Corpses,Cadavres
CARCASS.HIDE.NOUN,,Hide,Peau
CARCASS.HIDE.PLURAL,,Hides,Peaux
CARCASS.MEAT.LARGE,,Meat (large),Viande (Gros)
CARCASS.MEAT.MEDIUM,,Meat (medium),Viande (Moyen)
CARCASS.MEAT.SMALL,,Meat (small),Viande (Petit)
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,Filet de perche
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,Filets de perche
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,Filet de brochet
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,Filets de brochet

CLOTH.BRONZED_HEMP,,Hemp,Chanvre
CLOTH.HEMP-LINEN,,Hemp,Chanvre
CLOTH.LIGHT_HEMP,,Hemp,Chanvre
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,Toile de tabac

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,Fuis le combat
COMBAT.DESCRIPTION.GENERIC,,In combat,En combat
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},En combat contre {{targetDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Construction: {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}} requis{{\n}}{{numAvailable}} disponible{{\n}}{{numAssigned}} réservé
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} sont fait de {{inputItemTypes}} et {{lastInputItemType}} à/au {{furnitureType}} par {{profession}}.
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}} est fait de {{lastInputItemType}} à {{furnitureType}} par le {{profession}}.
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Envèle les autres objets
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Il y a des éléments qui doivent être retirés de la zone de construction de ce meuble avant qu'il ne puisse être construit.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,En attente de plus de {{itemDescription.plural}} en {{materialType}} disponibles
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,En construction
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,En attente de l'arrivée de ressources

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,Pain de {{materialDescription}}
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} et {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,Ration de {{materialDescription}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Soupe de {{materialDescription}}
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} et {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Pétri
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Forge
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,Fabrique avec des os
CRAFTING_TYPE.CARPENTRY,,Carpentry,Menuise
CRAFTING_TYPE.CARVING_VERB,,Carving,Sculpte
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Cuit au four
CRAFTING_TYPE.FERMENTING,,Fermenting,Fermente
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,Fait des détails
CRAFTING_TYPE.FLETCHING,,Fletching,Fait des flèches
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,Travaille le cuir
CRAFTING_TYPE.MALTING,,Malting,Brasse
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Ecrase le malt
CRAFTING_TYPE.MILLING,,Milling,Moud
CRAFTING_TYPE.MINTING,,Minting,Frappe des pièces
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Broie le minerai
CRAFTING_TYPE.SMELTING,,Smelting,Fondre
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Taille la pierre
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,Tanne la peau
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,Forge une arme
CRAFTING_TYPE.WEAVING,,Weaving,Tisse
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Coupe du bois
CRAFTING_TYPE.WORT_BREWING,,Brewing,Brasse

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,Aveuglé
CREATURE.STATUS.DEAD,,Dead,Mort

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infesté de nuisibles
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Cette culture a été contaminée par un nombre excessif de pucerons et autres insectes qui doivent être enlevés par un {{PROFESSIONN.FARMER}} avant de pouvoir prospérer à nouveau. Ne pas enlever les nuisibles à temps pourrait signifier que cette récolte va mourir!
CROP.DESCRIPTION,,{{materialType.noun}} plant,Plante {{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,Progression jusqu'à récolte: ({{progress}}%):
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,Cette plante n'a pas eu accès à l'eau depuis longtemps et a arrêté de pousser.
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,Cette plante n'a pas été arrosée et pousse lentement.
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,Vous pouvez irriguer vos plantations avec un canal contenant de l'eau sur 2 cases.
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Cette plante a été arrosée récemment et pousse rapidement.

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Brulé
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Dommage critique à l'organe
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Débris tombant
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Déshydratation
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Épuisement
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,Blessures graves
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxication alimentaire
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Exposition au froid
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,Renoncé à la vie
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Hémorragie interne
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,Blessures affligées au combat
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,Quelqu'un
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Famine
DEATH_REASON.SUFFOCATION,,Suffocation,Asphyxie
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Circonstances mystérieuses

EARTH.DIRT,,Dirt,Terre
EARTH.GRASS,,Grass,Herbe

EFFECT.FIRE,When the player selects a fire by itself,Fire,Feu

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Détruit par le feu
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,Détruit pendant le combat
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Détruit suite à une exposition prolongée à la pluie

FACTION.HOSTILE_INVASION,,Hostile Invader,Envahisseur hostile
FACTION.MERCHANTS,,Merchant,Marchand
FACTION.MONSTERS,,Monster,Monstre
FACTION.PIRATES,,Pirate,
FACTION.SETTLEMENT,,Settler,Colon
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,Animal domestique
FACTION.WILD_ANIMALS,,Wild Animal,Animal sauvage

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Canal d'irrigation ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,"Un canal d'irrigation fournit de l'eau aux plantations sur une distance de 2 cases. Construisez une pompe à eau et connectez là au canal via des tuyaux pour l'alimenter,"
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Vide
FLOOR.CHANNEL.STATE.FULL,,Full,Rempli
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Partiellement rempli
FLOOR.COBBLESTONE,,Cobblestone,Pavé
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terre
FLOOR.GRASS,,Grass,Herbe
FLOOR.GRAVEL,,Gravel,Gravier
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),tuyau de {{material}} ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - Puissance disponible: {{powerAmount}}
FLOOR.RIVER,,River,Rivière
FLOOR.ROUGH_STONE,,Rough stone floor,Rocher brut
FLOOR.SNOW,,Fallen snow,Neige
FLOOR.STONE_PAVING,,Stone paving,Pavé en pierre
FLOOR.STONE_SLAB,,Stone slab,Dalle
FLOOR.TILLED_EARTH,,Tilled earth,Terre labourée
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexploré
FLOOR.WOODEN,,Wooden floorboards,Parquet

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pain de roche
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"C'est un pain infamamment dur qui est si dur et pratiquement non comestible qu'il lui faut beaucoup de temps pour devenir moisi. L'explorateur humain J. A. Moffatt a décrit un jour la consommation comme «semblable à du gravier à mâcher qui a été dragué dans un marais». Heureusement, la plupart des nains ne semblent pas dérangés."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Blé

FUEL.SACK,,Fuel,Carburant
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Un carburant est nécessaire pour la production de métal, à la fois par {{FURNITURE.BLOOMERY_FURNACE}} et par {{FURNITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,Cible d'archerie
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,Les colons militaire pratiqueront leur compétence de combat à distance dessus jusqu'au niveau 50.
FURNITURE.ARMOUR_STAND,,Armour stand,Porte-armure
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,Utilisé pour entreposer une armure.
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,Etabli d'artisan
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,Un établi pour produire des objets complexe fait par {{PROFESSION.ARTISAN}}.
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Plan de travail de boulanger
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} travaille ici pour transformer {{RESOURCE.FLOUR.SACK.PLURAL}} en {{INGREDIENT.DUNTY}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Four de boulanger
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} cuit des pains ici en utilisant {{INGREDIENT.Dough}} préparé.
FURNITURE.BEER_TAPPER,,Beer tapper,Tireuse à bière
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,La bière est disponible
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Un barril de bière est en cours d'acheminement
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Il n'y a plus de bières!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),En attente (Pas de bière disponible)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,C'est ici que la {{LIQUID.BEER}} fermentée est servie.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Bas-fourneau
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Un {{PROFESSION.BLACKSMITH}} utilise ce fourneau à commande manuelle pour transformer des {{RESOURCE.ORE.CRUSHED.PLURAL}} et du {{FUEL.SACK}} en {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}}}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,Etabli pour les os
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,Cet établi est utilisé pour créer des objets à partir d'os.
FURNITURE.BREW_KETTLE,,Brew kettle,Cuve de brassage
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,C'est utilisé pour produire le moût final (bière non fermentée) en utilisant {{VEGETABLE.HOPS}} et le moût de{{FURNITURE.MASH_TUN}}.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Table de boucher
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Le poisson et les carcasses animales sont préparés ici pour devenir de la viande crue.
FURNITURE.BUYING_PALLET,,Buying pallet,
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Établi de menuisier
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","La plupart des objets et outils en bois sont produits ici, tels que les {{PRODUCT.BUCKET.PLURAL}} et les {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Chaudron
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Un chaudron sert à produire une grande quantité de soupe pour les colons affamés. La soupe est produite dans un {{ROOMS.KITCHEN}} avant d'être déplacée dans un {{ROOMS.FEASTING_HALL}} pour être servie.
FURNITURE.CHAIR,,Chair,Chaise
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,Les colons peuvent s'assoir ici quand ils utilisent la {{FURNITURE.FEASTING_TABLE}}.
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Four à charbons de bois
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Il s'agit d'un tas de {{RESOURCE.LOGS.PLURAL}} recouvert de {{MATERIAL_TYPE.EARTH}} et lentement brûlé pour produire du {{ORE.CHARCOAL.NOUN}}, qui peut ensuite être utilisé comme du {FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Four à charbons
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Un four à coke convertit {{ORE.BITUMINOUS_COAL.NOUN}} en {{ORE.COKE.NOUN}} afin qu'il puisse être utilisé comme {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Finalisé dans: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Fin de l'inoculation dans: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Récolte des champignons dans: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},En attente de {{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,En attente d'être rempli
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,En attente d'être inoculé dans la buche de culture à champignons
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,Table de levage
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,La pâte à pain provient du {{FURNITURE.BAKERS_WORKTOP}} pour y être entreposée avant d'aller dans le {{FURNITURE.BAKING_OVEN}}.
FURNITURE.EXPORT_PALLET,,Export pallet,Palette d'exportation
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,Utilisé pour déterminer quels objets seront produit depuis la pièce.
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Table de banquet
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Avec une {{FURNITURE.CHAIR}} en place, vos colons pourront profiter de leurs repas à cette table."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Cuve de fermentation
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,C'est ici que le {{LIQUID.HOPPED_WORT}} est fermenté en {{LIQUID.BEER}}.
FURNITURE.FISH_BARREL,,Fish barrel,Tonneau à poissons
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,Entrepose soignement le poisson pêché en attente d'être cuisiné.
