KEY,NOTES,ENGLISH,ITALIAN
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,I {{OutputItemType}} sono realizzati con {{inputItemTypes}} e {{lastInputItemType}} al {{furnitureType}} da {{profession}}.
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,Gli {{outputItemType}} sono realizzati da {{lastInputItemType}} al {{furnitureType}} da {{profession}}.
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Sta rimuovendo altri oggetti
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Ci sono oggetti che devono essere rimossi dall'area di costruzione di questo mobile prima che possa progredire.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,In attesa di maggiore disponibilità di {{itemDescription.plural}} {{materialType}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,In costruzione
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,In attesa dell'arrivo delle risorse

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} pane
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} e {{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,Razionamento di {{materialDescription}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Zuppa ({{materialDescription}})
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}","{{materialOne}}, {{materialTwo}} e {{materialThree}}"

CRAFTING_TYPE.BAKING,,Baking,Cottura al forno
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,Fabbro
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,Lavorazione delle ossa
CRAFTING_TYPE.CARPENTRY,,Carpentry,Carpenteria
CRAFTING_TYPE.CARVING_VERB,,Carving,Incisione
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,Cottura del carbone bituminoso
CRAFTING_TYPE.FERMENTING,,Fermenting,Fermentazione
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,Dettagli raffinati
CRAFTING_TYPE.FLETCHING,,Fletching,Fabbricazione di archi
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,Lavorazione della pelle
CRAFTING_TYPE.MALTING,,Malting,Maltatura
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Ammassamento del malto
CRAFTING_TYPE.MILLING,,Milling,Macinazione
CRAFTING_TYPE.MINTING,,Minting,Coniazione
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Frantumazione dei minerali
CRAFTING_TYPE.SMELTING,,Smelting,Fusione
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Muratura
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,Concia dei pellami
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,Armamento
CRAFTING_TYPE.WEAVING,,Weaving,Tessitura
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Taglio del legno
CRAFTING_TYPE.WORT_BREWING,,Brewing,Preparazione del mosto

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,Accecato
CREATURE.STATUS.DEAD,,Dead,Morto

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infestato dai parassiti
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Questa coltura è stata afflitta da un numero eccessivo di afidi e altri insetti che devono essere rimossi da un {{PROFESSION.FARMER}} prima che possa prosperare nuovamente. Non rimuovere i parassiti in tempo potrebbe significare che questo raccolto muore!
CROP.DESCRIPTION,,{{materialType.noun}} plant,pianta {{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,Progresso della raccolta: {{progress}}%
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,Questa pianta non ha avuto accesso all'acqua per molto tempo e ha smesso di crescere
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,Questa pianta non è stata annaffiata e sta crescendo lentamente
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,Puoi irrigare le tue colture con un canale contenente acqua con 2 piastrelle.
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,Questa pianta è stata annaffiata di recente e sta crescendo rapidamente

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,Bruciando
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,Danni critici agli organi
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Detriti che cadono
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Disidratazione
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Stanchezza
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,Lesioni estese
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intossicazione alimentare
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,Esposizione al gelo
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,"avendo rinunciato alla vita													   "
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,Emorragia interna
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,ferite subite in combattimento
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,qualcuno
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,La fame
DEATH_REASON.SUFFOCATION,,Suffocation,Soffocamento
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Circostanze misteriose

EARTH.DIRT,,Dirt,Terra
EARTH.GRASS,,Grass,Erba

EFFECT.FIRE,When the player selects a fire by itself,Fire,Fuoco

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,Distrutto dal fuoco
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,Distrutto durante il combattimento
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,Distrutto dall'esposizione prolungata alla pioggia

FACTION.HOSTILE_INVASION,,Hostile Invader,Invasore ostile
FACTION.MERCHANTS,,Merchant,Commerciante
FACTION.MONSTERS,,Monster,Mostro
FACTION.PIRATES,,Pirate,Pirata
FACTION.SETTLEMENT,,Settler,Colono
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,Animale addomesticato
FACTION.WILD_ANIMALS,,Wild Animal,Animale selvatico

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),Canale di irrigazione ({{state}})
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,I canali di irrigazione forniscono l'accesso all'acqua alle colture entro 2 caselle. Costruisci una pompa d'acqua e connetti i canali ad essa usando dei tubi.
FLOOR.CHANNEL.STATE.EMPTY,,Empty,Vuoto
FLOOR.CHANNEL.STATE.FULL,,Full,Pieno
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,Parzialmente riempito
FLOOR.COBBLESTONE,,Cobblestone,Ciottoli
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terra
FLOOR.GRASS,,Grass,Erba
FLOOR.GRAVEL,,Gravel,Ghiaia
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}} tubo ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - Potenza disponibile: {{powerAmount}}
FLOOR.RIVER,,River,Fiume
FLOOR.ROUGH_STONE,,Rough stone floor,Pietra grezza
FLOOR.SNOW,,Fallen snow,Neve caduta
FLOOR.STONE_PAVING,,Stone paving,Pavimentazione in pietra
FLOOR.STONE_SLAB,,Stone slab,Lastre di pietra
FLOOR.TILLED_EARTH,,Tilled earth,Terreno arato
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inesplorato
FLOOR.WOODEN,,Wooden floorboards,Pavimenti in legno

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Pane di roccia
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Si tratta di un pane infame duro, così duro e praticamente immangiabile che ci vuole molto tempo per diventare ammuffito. L'esploratore umano J. A. Moffatt ha descritto una volta mangiarlo come Â«simile alla ghiaia da masticare che è stata dragata da una paludeÂ». Fortunatamente alla maggior parte dei nani non sembra dispiaciere."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Grano

FUEL.SACK,,Fuel,Carburante
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Nella produzione di metallo è richiesto combustibile, sia dal {{FURNITURE.BLOOMERY_FURNCE}} che dal {FURNITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,Bersaglio del tiro con l'arco
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,I coloni militari eserciteranno qui le loro abilità di combattimento a distanza.
FURNITURE.ARMOUR_STAND,,Armour stand,Supporto per armatura
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,Utilizzato per conservare le armature.
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,Postazione di lavoro artigianale
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,Stazione di lavorazione per oggetti complessi prodotti da un {{PROFESSION.ARTISAN}}.
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Piano di lavoro Baker
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} lavora qui per trasformare {{RESOURCE.FLOUR.SACK.PLURAL}} in {{INDIENT.DAST}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Forno da panettiere
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} cuoce i pani usando {{INGREDIENT.DAST}} preparato.
FURNITURE.BEER_TAPPER,,Beer tapper,Spillatore di birra
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,La birra è disponibile
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Un barile di birra è in arrivo
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,La birra è finita!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),Inattivo (nessuna birra disponibile)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,È da qui che viene servita la {{LIQUID.BEER}} fermentata.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Forno a fioritura
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,Un {{PROFESSION.BLACKSMITH} utilizza questo forno manuale per trasformare {{RESOURCE.ORE.CRUSHED.PLURAL}} e {{FUEL.SACK}} in {{MATERIAL_TYPE.METAL.ADJETTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}}}}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,Banco per la lavorazione delle ossa
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,Si usa per costruire oggetti in osso.
FURNITURE.BREW_KETTLE,,Brew kettle,Bollitore
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Questo è usato per produrre il mosto finale (birra non fermentata) usando {{VEGETABLE.HOPS}} e il mosto dal {{FURNITURE.MASH_TUN}}.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,Piano di lavoro macelleria
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,Qui si preparano carcasse di pesce e di animali in carne utilizzabile.
FURNITURE.BUYING_PALLET,,Buying pallet,Pallet d'acquisto
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,Utilizzatela per determinare quali articoli acquistare dai commercianti.
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Banco dell'artigiano
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","La maggior parte degli oggetti e degli utensili in legno sono prodotti qui, come {PRODUCT.BUCKET.PLURAL}} e {PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Calderone
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,Un calderone viene utilizzato per servire una grande quantità di zuppa ai coloni affamati. La zuppa viene prodotta in un {{ROOMS.KITCHIN}} prima di essere spostata in un {{ROOMS.FEASTING_HALL}} per servire.
FURNITURE.CHAIR,,Chair,Sedia
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,I coloni possono sedersi qui mentre usano il {{FURNITURE.FEASTING_TABLE}}
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Cumulo di Carbonella
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Si tratta di un mucchio di {{RESOURCE.LOGS.PLURAL}} coperto con {{MATERIAL_TYPE.EARTH}} e lentamente bruciato per produrre {OREARCOAL.NOUN}, che può essere utilizzato come {{FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Forno per carbone bituminoso
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,Un forno per carbone bituminoso converte {ORE.BITUMINOUS_COAL.NOUN}} in {{ORECOKE.NOUN}} in modo che possa essere utilizzato come {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{furnitureType.noun}} {{materialType.adjective}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Avanzamento al completamento: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Progressi per completare l'innoculazione: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Progressi per ammortizzare il tronco dei funghi: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},In attesa di {{itemType.Noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,In attesa di essere riempito
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,In attesa di essere iniettato con le uova di funghi
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,Tavolo di lievitazione dell'impasto
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,L'impasto può essere prelevato dal {{FURNITURE.BAKERS_WORKTOP}} e conservato qui prima di entrare nel {{FURNITURE.BAKING_OVEN}}.
FURNITURE.EXPORT_PALLET,,Export pallet,Pallet per l'esportazione
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,Consente di determinare quali elementi esportare dalla stanza.
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Tavolo da banchetto
