KEY,NOTES,ENGLISH,TURKISH
CRAFTING_TYPE.MALTING,,Malting,Çimlendirme
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,Mayşeleme
CRAFTING_TYPE.MILLING,,Milling,Frzeleme
CRAFTING_TYPE.MINTING,,Minting,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,Cevher Parçalama
CRAFTING_TYPE.SMELTING,,Smelting,Döküm
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,Taş Ustası
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,
CRAFTING_TYPE.WEAVING,,Weaving,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,Doğramacı
CRAFTING_TYPE.WORT_BREWING,,Brewing,Mayalama

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},
CREATURE.STATUS.BLINDED,,Blinded,
CREATURE.STATUS.DEAD,,Dead,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Böceklenmiş
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Bu bitki aşırı böceklenmiş veya zararlı otlarla sarılmış. Tekrar mahsül verebilmesi için önce {{PROFESSION.FARMER}} tarafından temizlenmesi gerekiyor. Dikkat! Hastallığın temizlenmemesi bitkinin ölmesi demek olabilir!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}} bitkisi
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Heyelan
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Sıvı Kaybı
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Yorgunluk
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Besin zehirlenmesi
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Açlık
DEATH_REASON.SUFFOCATION,,Suffocation,
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Gizemli koşullar

EARTH.DIRT,,Dirt,Toprak
EARTH.GRASS,,Grass,Çimen

EFFECT.FIRE,When the player selects a fire by itself,Fire,

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,

FACTION.HOSTILE_INVASION,,Hostile Invader,
FACTION.MERCHANTS,,Merchant,
FACTION.MONSTERS,,Monster,
FACTION.SETTLEMENT,,Settler,
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,
FACTION.WILD_ANIMALS,,Wild Animal,

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,
FLOOR.CHANNEL.STATE.EMPTY,,Empty,
FLOOR.CHANNEL.STATE.FULL,,Full,
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,
FLOOR.COBBLESTONE,,Cobblestone,Kaldırım Taşı
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Toprak
FLOOR.GRASS,,Grass,Çimen
FLOOR.GRAVEL,,Gravel,Çakıl
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},
FLOOR.RIVER,,River,Nehir
FLOOR.ROUGH_STONE,,Rough stone floor,Ser taş zemin
FLOOR.SNOW,,Fallen snow,
FLOOR.STONE_PAVING,,Stone paving,
FLOOR.STONE_SLAB,,Stone slab,Taş levha
FLOOR.TILLED_EARTH,,Tilled earth,Bellenmiş toprak
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Keşfedilmemiş
FLOOR.WOODEN,,Wooden floorboards,

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Kaya Ekmeği
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"Aşırı sağlam, hatta neredeyse yenemeyecek kadar sert ancak çok uzun süre küflenmeyen bir ekmek. insan kaşif J.A. Moffat bir defasında ekmeğin tadını ""Bataklıktan çıkarılmış bir çakıl taşını çiğnemeye çalışmak"" şeklinde betimlemiştir. Neyse ki cüceler bu tada çok aldırmıyorlar."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Buğday

FUEL.SACK,,Fuel,Yakıt
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}."," {{FURNITURE.BLOOMERY_FURNACE}} yada {{FURNITURE.FORGE}} metal üretirken yakıt kullanılması gerekmektedir."

FURNITURE.ARCHERY_TARGET,,Archery target,
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here.,
FURNITURE.ARMOUR_STAND,,Armour stand,
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Fırıncının tezgahı
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Bir {{PROFESSION.CHEF}} burada {{RESOURCE.FLOUR.SACK.PLURAL}}  {{INGREDIENT.DOUGH}} dönüştürmek için çalışıyor.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Fırıncının ocağı
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Ein {{PROFESSION.CHEF}} backt hier Laibe aus {{INGREDIENT.DOUGH}}.
FURNITURE.BEER_TAPPER,,Beer tapper,Bira Garsonu
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,Bira mevcut
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,Bir bira fıçısı yolda
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,Bira bitti!
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),Bom boş (Bira mevcut değil)
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,{{LIQUID.BEER}} buradan servis ediliyor.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Demirci ocağı
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,"{{PROFESSION.BLACKSMITH}} manuel fırını kullanarak  {{RESOURCE.ORE.CRUSHED.PLURAL}} ve {{FUEL.SACK}} nı  {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} dönüştürür. "
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,
FURNITURE.BREW_KETTLE,,Brew kettle,Demleme tankı
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,Bu tank {{VEGETABLE.HOPS}} ve {{FURNITURE.MASH_TUN}} kullanarak fermente edilmemiş birayı yapmakta kullanılır.
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Marangoz çalışma tezgahı
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",Tahtadan yapılan {{PRODUCT.BUCKET.PLURAL}} ve {{PRODUCT.BARREL.PLURAL}} gibi eşya ve aletlerin bir çoğu burada yapılır.
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kessel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,"Kazan, aç bir vatandaş grubuna yüksek miktarda çorba dağıtmak için kullanılır. Çorba {{ROOMS.FEASTING_HALL}} da servis edilmeden önce {{ROOMS.KITCHEN}} da hazırlanır."
FURNITURE.CHAIR,,Chair,Sandalye
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Kömür maşası
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",Bu {{MATERIAL_TYPE.EARTH}} ile kaplanmış  {{RESOURCE.LOGS.PLURAL}} yığını ağır ağır yakılarak {{FUEL.SACK}} olarak kullanılabilen {{ORE.CHARCOAL.NOUN}} üretilebilir.
FURNITURE.COKE_OVEN,,Coke oven,Kok Fırını
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,"Kok fırını {{ORE.BITUMINOUS_COAL.NOUN}}ı {{FUEL.SACK}}  kullanılabilmesi için {{ORE.COKE.NOUN}} dönüştürür. "
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},"{{materialType}} {{furnitureType.noun}} "
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Yürütülme durumu: {{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Aşılanmanın tamamlanma durumu: {{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Mantar kütüğünün şoklanma durumu: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},{{itemType.noun}} bekleniyor
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Doldurulması için bekleniyor
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Mantar özü ile aşılanması bekleniyor
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,
FURNITURE.EXPORT_PALLET,,Export pallet,
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Ziyafet masası
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",{{FURNITURE.CHAIR}} ile beraber vatandaşların yemeklerinin tadını masada çıkaracaklar
FURNITURE.FERMENTATION_TANK,,Fermentation tank,Fermantasyon tankı
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,{{LIQUID.HOPPED_WORT}} un {{LIQUID.BEER}}ya dönüştüğü yer.
FURNITURE.FISH_BARREL,,Fish barrel,
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Un Değirmeni
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Un değirmeni {{VEGETABLE.WHEAT}} nı öğüterek {{PROFESSION.CHEF}} tarafından kullanılabilecek {{RESOURCE.FLOUR.SACK.NOUN}} elde eder.
FURNITURE.FORGE,,Forge,Demirhane
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,"Burası bir {{PROFESSION.BLACKSMITH}} nin {{MATERIAL_TYPE.METAL.ADJECTIVE}} , {{RESOURCE.METAL.INGOT.PLURAL}} ve {{FUEL.SACK}} kullanarak eşya ve silah yaptığı yer."
FURNITURE.GRAVE,,Grave,Mezar
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,"Ölmüş vatandaşlar için acele ile kazılmış mezar, sadece {{MATERIAL_TYPE.EARTH}} alana yerleştirilebilir."
FURNITURE.HITCHING_POST,,Hitching post,
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,
FURNITURE.IMPORT_PALLET,,Import pallet,
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,
FURNITURE.INVADER_CAMPFIRE,,Campfire,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Mutfak tezgahı
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,{{PROFESSION.CHEF}} nın çorba malzemelerini sakladığı yer.
FURNITURE.LANTERN,,Lantern,Fener
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,Fener ışık sağlar ancak şuanda oyun içi bir etkisi bulunmamakta.
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,
FURNITURE.LEDGER_TABLE,,Ledger table,
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,
FURNITURE.LOOM,,Loom,
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,
FURNITURE.MALTING_STATION,,Malting station,Maltlama istasyonu
