KEY,NOTES,ENGLISH,SWEDISH
CRAFTING_TYPE.MINTING,,Minting,
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,
CRAFTING_TYPE.SMELTING,,Smelting,
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,
CRAFTING_TYPE.WEAVING,,Weaving,
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,
CRAFTING_TYPE.WORT_BREWING,,Brewing,

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},
CREATURE.STATUS.BLINDED,,Blinded,
CREATURE.STATUS.DEAD,,Dead,

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Pådrabbad av skadedjur
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Denna gröda har drabbats av ett alltför stort antal bladlöss och andra insekter som måste avlägsnas av en {{PROFER.FARMER}} innan den kan blomstra igen. Att inte ta bort skadedjur i tid kan innebära att denna gröda dör!
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{MaterialType.noun}} växt
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Fallande skräp
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Uttorkning
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Utmattning
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Matförgiftning
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,Svält
DEATH_REASON.SUFFOCATION,,Suffocation,
DEATH_REASON.UNKNOWN,,Mysterious circumstances,Mystiska omständigheter

EARTH.DIRT,,Dirt,Smuts
EARTH.GRASS,,Grass,Gräs

EFFECT.FIRE,When the player selects a fire by itself,Fire,

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,

FACTION.HOSTILE_INVASION,,Hostile Invader,
FACTION.MERCHANTS,,Merchant,
FACTION.MONSTERS,,Monster,
FACTION.SETTLEMENT,,Settler,
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,
FACTION.WILD_ANIMALS,,Wild Animal,

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,
FLOOR.CHANNEL.STATE.EMPTY,,Empty,
FLOOR.CHANNEL.STATE.FULL,,Full,
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,
FLOOR.COBBLESTONE,,Cobblestone,Kullersten
FLOOR.DESCRIPTION,,{{floorType.noun}},{{Floortype.noun}}
FLOOR.DIRT,,Dirt,Smuts
FLOOR.GRASS,,Grass,Gräs
FLOOR.GRAVEL,,Gravel,Grus
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},
FLOOR.RIVER,,River,Floden
FLOOR.ROUGH_STONE,,Rough stone floor,Grovt stengolv
FLOOR.SNOW,,Fallen snow,
FLOOR.STONE_PAVING,,Stone paving,
FLOOR.STONE_SLAB,,Stone slab,Stenplatta
FLOOR.TILLED_EARTH,,Tilled earth,Jordbrukad jord
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Outforskad
FLOOR.WOODEN,,Wooden floorboards,

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Rockbread
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,Detta är ett skamligt tufft bröd som är så svårt och praktiskt oätligt att det tar mycket lång tid att bli mögligt. Den mänskliga upptäcktsresanden J. A. Moffatt beskrev en gång att äta den som ”besläktad med att tugga grus som har muddrats från ett träsk”. Lyckligtvis verkar de flesta dvärgar inte bry sig.
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Vete

FUEL.SACK,,Fuel,Bränsle
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Bränsle krävs vid tillverkning av metall, både av {{FEBURITURE.BLOOMERY_UGE}} och {{FURNITURE.FORGE}}."

FURNITURE.ARCHERY_TARGET,,Archery target,
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,
FURNITURE.ARMOUR_STAND,,Armour stand,
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Baker bänkskiva
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,A {{PROCESS.CHEF}} fungerar här för att förvandla {{RESOURCE.FLOUR.SACK.PLURAL}} till {{INDERENT.DEG}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Bakers ugn
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,En {{PROCISC.CHEF}} bakar bröd här med hjälp av preparerade {{INDERENT.DEG}}.
FURNITURE.BEER_TAPPER,,Beer tapper,
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Bloomery ugn
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,En {{PROFESSI.BLAKSMITH}} använder denna handdrivna ugn för att omvandla {{RESOURCE.ORE.CRUSHED.PLURAL}} och {FUEL.SACK}} till {{MATERIAL_TYPE.METAL.INGOT.PLURAL}}.
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,
FURNITURE.BREW_KETTLE,,Brew kettle,
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,Snickarbänk
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.","De flesta träartiklar och verktyg produceras här, till exempel {{PRODUCT.BOCKET.PLURAL} och {{PRODUCT.BARREL.PLURAL}}."
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,Kittel
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,En kittel används för att servera en stor mängd soppa till hungriga bosättare. Soppan produceras i en {{ROOMS.CITY}} innan den flyttas till en {{ROOPS.FEASTING_HALL}} för servering.
FURNITURE.CHAIR,,Chair,Stol
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,Klämma av träkol
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.","Detta är en hög med {{RESOURCE.LOGS.PLURAL}} täckt med {{MATERIAL_TYPE.EARD}} och långsamt brändes för att producera {{ORE.CHARCOAL.NOUN}}, som sedan kan användas som {FUEL.SACK}}."
FURNITURE.COKE_OVEN,,Coke oven,Koksugn
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,En koksugn omvandlar {{ORE.BITUMINOUS_COAL.NOUN}} till {{ORE.COKE.NOUN}} så att den kan användas som {{FUEL.SACK}}.
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{FurnitureType.substantiv}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,Framsteg till slutförande: {{framsteg}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,Framsteg till fullständig oskulation: {{framsteg}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,Framsteg till chock svamp logg: {{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},Väntar på {{itemType.noun}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,Väntar på att fyllas
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,Väntar på att injiceras med svampspawn
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,
FURNITURE.EXPORT_PALLET,,Export pallet,
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,Festbord
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.","Med en {{Furniture.COOR}} på plats, kommer dina nybyggare njuta av sina måltider vid detta bord."
FURNITURE.FERMENTATION_TANK,,Fermentation tank,
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,
FURNITURE.FISH_BARREL,,Fish barrel,
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,Gristmill
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,Gristmill malar {{VEETABL.VETE}} i {{RESOURCE.FLOUR.SACK.NOUN}} så att den kan användas av en {{PROCESTI.CHEF}}.
FURNITURE.FORGE,,Forge,Smida
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,Här arbetar en {{PROCESS.BLAKSMITH}} med {{MATERIAL_TYPE.METAL.ADJECTIVE} {RESOURCE.METAL.INGOT.PLURAL}} och {FUEL.SACK}} för att tillverka föremål och vapen.
FURNITURE.GRAVE,,Grave,Grav
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,En hastigt grävd grav för avlidna bosättare som endast kan placeras i {{MATERIAL_TYPE.EARD}}.
FURNITURE.HITCHING_POST,,Hitching post,
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,
FURNITURE.IMPORT_PALLET,,Import pallet,
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,
FURNITURE.INVADER_CAMPFIRE,,Campfire,
FURNITURE.KITCHEN_WORKTOP,Simple piece of furniture in a kitchen used to hold ingredients on top of it,Kitchen worktop,Kök bänkskiva
FURNITURE.KITCHEN_WORKTOP.TOOLTIP,,An area to store ingredients for a {{PROFESSION.CHEF}} to cook soup.,Ett område för att lagra ingredienser för en {{PROCUS.CHEF}} för att laga soppa.
FURNITURE.LANTERN,,Lantern,Lykta
FURNITURE.LANTERN.TOOLTIP,,A lantern provides light. This does not currently have an in-game effect.,En lykta ger ljus — detta har för närvarande ingen effekt i spelet.
FURNITURE.LEATHERWORKING_STATION,,Leatherworking station,
FURNITURE.LEATHERWORKING_STATION.TOOLTIP,,A workbench to produce leather goods like armour and waterskins.,
FURNITURE.LEDGER_TABLE,,Ledger table,
FURNITURE.LEDGER_TABLE.TOOLTIP,,A landmark for the {{ROOMS.TRADING_DEPOT}}. This does not currently have an in-game effect.,
FURNITURE.LOOM,,Loom,
FURNITURE.LOOM.TOOLTIP,,Used to craft textiles such as {{PRODUCT.LINEN.NOUN}} from {{RESOURCE.HEMP.FIBRE.BUNDLE.PLURAL}}.,
FURNITURE.MALTING_STATION,,Malting station,
FURNITURE.MALTING_STATION.TOOLTIP,,Here brewers steep barley and then dry it out using a kiln to produce malt.,
FURNITURE.MASH_TUN,,Mash tun,
FURNITURE.MASH_TUN.TOOLTIP,,This is used to produce wort (unfermented beer) from milled malt and water.,
FURNITURE.MUSHROOM_LOG,,Mushroom log,Svamp logg
FURNITURE.MUSHROOM_LOG.TOOLTIP,,"A log that has been injected with {{INGREDIENT.MUSHROOM.SPAWN.PLURAL}} to produce several harvests of delicious, juicy mushrooms.","En logg som injicerats med {{INDERENENT.MUSTOM.SPAWN.PLURAL}} för att producera flera skördar av läckra, saftiga svampar."
FURNITURE.MUSHROOM_SHOCK_TANK,This is a trough of water used to immerse mushroom logs in for a period of time,Shock tank,Shock tank
FURNITURE.MUSHROOM_SHOCK_TANK.TOOLTIP,,"After innoculation, a {{FURNITURE.MUSHROOM_LOG}} is placed in this tank to “shock” the mushroom colony and encourage it to grow mushrooms.",Efter oskulation placeras en {{FEBRUARIET.MUSTOM_LOG}} i denna tank för att ”chocka” svampkolonin och uppmuntra den att odla svamp.
FURNITURE.ORE_CRUSHING_STATION,,Ore crushing station,Krossningsstation för malm
