KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,正在找活儿做
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},在{{tileDescription}}上睡觉
ACTION.STUNNED,,Stunned,昏迷

ARMOUR.LEATHER,,Leather armour,皮甲
ARMOUR.LEATHER.TOOLTIP,,A light and basic armour to protect you in combat,轻便、简易的防具，能在战斗中保护你。
ARMOUR.ORC.HEAVY,,Orc armour,兽人盔甲
ARMOUR.ORC.LIGHT,,Leather orc armour,兽人皮甲
ARMOUR.PLATE,,Plate armour,板甲
ARMOUR.PLATE.TOOLTIP,,Thick and sturdy armour which offers a lot of protection in combat,厚重的防具，能在战斗中提供极强的防御。

ASHES.NOUN,,Ash,灰烬

BODY_STRUCTURE.ABDOMEN,,Abdomen,腹部
BODY_STRUCTURE.ARM,,Arm,胳膊
BODY_STRUCTURE.CEPHALOTHORAX,,Cephalothorax,头胸部
BODY_STRUCTURE.DAMAGE.BLEEDING,,Bleeding,流血
BODY_STRUCTURE.DAMAGE.BROKENBONES,,Broken,断裂
BODY_STRUCTURE.DAMAGE.BRUISED,,Bruised,擦伤
BODY_STRUCTURE.DAMAGE.DESTROYED,,Destroyed,摧毁
BODY_STRUCTURE.DAMAGE.NOT_INJURED,,Not Injured,未受伤
BODY_STRUCTURE.DISCRIMINATOR.BACKLEFT,,Rear left,左后
BODY_STRUCTURE.DISCRIMINATOR.BACKRIGHT,,Rear right,右后
BODY_STRUCTURE.DISCRIMINATOR.FIRSTLEFT,,First left,左一
BODY_STRUCTURE.DISCRIMINATOR.FIRSTRIGHT,,First right,右一
BODY_STRUCTURE.DISCRIMINATOR.FOURTHLEFT,,Fourth left,左四
BODY_STRUCTURE.DISCRIMINATOR.FOURTHRIGHT,,Fourth right,右四
BODY_STRUCTURE.DISCRIMINATOR.FRONTLEFT,,Front left,左前
BODY_STRUCTURE.DISCRIMINATOR.FRONTRIGHT,,Front right,右前
BODY_STRUCTURE.DISCRIMINATOR.LEFT,,Left,左
BODY_STRUCTURE.DISCRIMINATOR.RIGHT,,Right,右
BODY_STRUCTURE.DISCRIMINATOR.SECONDLEFT,,Second left,左二
BODY_STRUCTURE.DISCRIMINATOR.SECONDRIGHT,,Second right,右二
BODY_STRUCTURE.DISCRIMINATOR.THIRDLEFT,,Third left,左三
BODY_STRUCTURE.DISCRIMINATOR.THIRDRIGHT,,Third right,右三
BODY_STRUCTURE.FOOT,,Foot,脚
BODY_STRUCTURE.HAND,,Hand,手
BODY_STRUCTURE.HEAD,,Head,头
BODY_STRUCTURE.HOOF,,Hoof,蹄子
BODY_STRUCTURE.LEFT-ARM,,Left arm,左臂
BODY_STRUCTURE.LEFT-HAND,,Left hand,左手
BODY_STRUCTURE.LEG,,Leg,腿
BODY_STRUCTURE.ORGAN.BRAIN,,Brain,大脑
BODY_STRUCTURE.ORGAN.EYE,,Eye,眼
BODY_STRUCTURE.ORGAN.HEART,,Heart,心脏
BODY_STRUCTURE.ORGAN.INTESTINES,,Intestines,内脏
BODY_STRUCTURE.ORGAN.KIDNEY,,Kidney,肾
BODY_STRUCTURE.ORGAN.LUNG,,Lung,肺
BODY_STRUCTURE.ORGAN_DAMAGE.DESTROYED,,Destroyed,摧毁
BODY_STRUCTURE.ORGAN_DAMAGE.HEAVY,,Heavy damage to,重伤：
BODY_STRUCTURE.ORGAN_DAMAGE.LIGHT,,Light damage to,轻伤：
BODY_STRUCTURE.PAW,,Paw,爪子
BODY_STRUCTURE.RIGHT-ARM,,Right arm,右臂
BODY_STRUCTURE.RIGHT-HAND,,Right hand,右手
BODY_STRUCTURE.TORSO,,Chest,胸
BODY_STRUCTURE.TRUNK,,Trunk,躯干

BONE.BONE,,Bone,骨头

CARCASS.CARP.PREPARED.NOUN,,Carp fillet,鲤鱼柳
CARCASS.CARP.PREPARED.PLURAL,,Carp fillets,鲤鱼柳
CARCASS.GROUP,,Corpses,尸体
CARCASS.HIDE.NOUN,,Hide,隐藏
CARCASS.HIDE.PLURAL,,Hides,隐藏
CARCASS.MEAT.LARGE,,Meat (large),肉（大）
CARCASS.MEAT.MEDIUM,,Meat (medium),肉（中）
CARCASS.MEAT.SMALL,,Meat (small),肉（小）
CARCASS.PERCH.PREPARED.NOUN,,Perch fillet,鲈鱼柳
CARCASS.PERCH.PREPARED.PLURAL,,Perch fillets,鲈鱼柳
CARCASS.PIKE.PREPARED.NOUN,,Pike fillet,梭鱼柳
CARCASS.PIKE.PREPARED.PLURAL,,Pike fillets,梭鱼柳

CLOTH.BRONZED_HEMP,,Hemp,火麻
CLOTH.HEMP-LINEN,,Hemp,火麻
CLOTH.LIGHT_HEMP,,Hemp,火麻
CLOTH.TOBACCO_CLOTH,,Tobacco cloth,

COMBAT.DESCRIPTION.FLEEING,,Fleeing from combat,逃离战斗
COMBAT.DESCRIPTION.GENERIC,,In combat,正在战斗
COMBAT.DESCRIPTION.VERSUS_OPPONENT,,In combat with {{targetDescription}},正在与{{targetDescription}}战斗

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},建造{{materialType.adjective}} {{furnitureType.noun}}
CONSTRUCTION.REQUIREMENT_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{numRequired}} required{{\n}}{{numAvailable}} available{{\n}}{{numAssigned}} assigned,{{numRequired}}需要{{\n}}{{numAvailable}} 可用{{\n}}{{numAssigned}}已分配
CONSTRUCTION.REQUIREMENT_RECIPE_MULTIPLE,,{{outputItemType}} are made from {{inputItemTypes}} and {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}}由{{profession}}在{{furnitureType}}加工{{inputItemTypes}}和{{lastInputItemType}}而成。
CONSTRUCTION.REQUIREMENT_RECIPE_SINGULAR,,{{outputItemType}} are made from {{lastInputItemType}} at the {{furnitureType}} by {{profession}}.,{{outputItemType}}由{{profession}}在{{furnitureType}}加工{{lastInputItemType}}而成。
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,正在移除其他物品
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,需要清除此家具建造区，否则无法继续。
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,等待更多的{{materialType}} {{itemDescription.plural}}
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,正在施工
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,等待资源到达

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}}面包
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}}和{{materialTwo}}
COOKING.RATION.DESCRIPTION,E.g. “Rockbread ration”,{{materialDescription}} ration,{{materialDescription}}配给粮
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,{{materialDescription}}汤食
COOKING.TRIPLE_INGREDIENT.DESCRIPTION,"E.g. “Fish, tomato and potato”, to be used for for three ingredients together as below","{{materialOne}}, {{materialTwo}} and {{materialThree}}",{{materialOne}}，{{materialTwo}}和{{materialThree}}

CRAFTING_TYPE.BAKING,,Baking,烘焙
CRAFTING_TYPE.BLACKSMITHING,,Blacksmithing,锻造
CRAFTING_TYPE.BONE_CRAFTING,,Bone crafting,骨头制作
CRAFTING_TYPE.CARPENTRY,,Carpentry,木工
CRAFTING_TYPE.CARVING_VERB,,Carving,雕刻
CRAFTING_TYPE.COKE_OVEN_BAKING,,Coke baking,炼焦
CRAFTING_TYPE.FERMENTING,,Fermenting,发酵
CRAFTING_TYPE.FINE_DETAIL_CRAFTING,,Fine detailing,打磨细节
CRAFTING_TYPE.FLETCHING,,Fletching,制箭
CRAFTING_TYPE.LEATHERWORKING,,Leatherworking,制革
CRAFTING_TYPE.MALTING,,Malting,制作麦芽
CRAFTING_TYPE.MALT_MASHING,,Malt mashing,糖化
CRAFTING_TYPE.MILLING,,Milling,磨粉
CRAFTING_TYPE.MINTING,,Minting,铸造
CRAFTING_TYPE.ORE_CRUSHING,,Ore crushing,碎石
CRAFTING_TYPE.SMELTING,,Smelting,熔炼
CRAFTING_TYPE.STONEMASONRY,,Stonemasonry,石雕
CRAFTING_TYPE.TANNING_HIDE,,Hide tanning,鞣革
CRAFTING_TYPE.WEAPONSMITHING,,Weaponsmithing,武器锻造
CRAFTING_TYPE.WEAVING,,Weaving,纺织
CRAFTING_TYPE.WOODCUTTING,,Woodcutting,伐木
CRAFTING_TYPE.WORT_BREWING,,Brewing,酿制

CREATURE.DAMAGE.DESCRIPTION_A,,{{damageType}} {{bodyPart}},{{damageType}} {{bodyPart}}
CREATURE.DAMAGE.DESCRIPTION_B,,{{damageType}} {{discriminator}} {{bodyPart}},{{damageType}} {{discriminator}} {{bodyPart}}
CREATURE.DESCRIPTION,,{{gender.adjective}} {{race.noun}},{{gender.adjective}} {{race.noun}}
CREATURE.STATUS.BLINDED,,Blinded,失明
CREATURE.STATUS.DEAD,,Dead,死亡

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,虫害
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,该农作物的虫害情况非常严重，需要{{PROFESSION.FARMER}}为其除虫，否则将会影响生长。若不及时除害，农作物甚至可能会死亡！
CROP.DESCRIPTION,,{{materialType.noun}} plant,{{materialType.noun}}植物
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest ({{progress}}%):,距收获的进度({{progress}}%):
CROP.MOISTURE_STATE.DROUGHTED,,This plant has no access to water for a long time and has stopped growing,该植物由于长时间缺水，已经停止生长
CROP.MOISTURE_STATE.NEEDS_WATERING,,This plant has not been watered and is growing slowly,该植物由于没有浇水而生长缓慢
CROP.MOISTURE_STATE.NEEDS_WATERING.TOOLTIP,,You can irrigate your crops with a channel containing water with 2 tiles.,你可以用水渠灌溉农作物
CROP.MOISTURE_STATE.WATERED,,This plant has been watered recently and is growing quickly,近期已浇灌该植物，长势迅猛

DEATH_REASON.BURNING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Burning,燃烧
DEATH_REASON.CRITICAL_ORGAN_DAMAGE,,Critical organ damage,严重器官损伤
DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,崩塌
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,脱水
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,力竭
DEATH_REASON.EXTENSIVE_INJURIES,,Extensive injuries,重伤
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,食物中毒
DEATH_REASON.FROZEN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exposure to freezing weather,受冻
DEATH_REASON.GIVEN_UP_ON_LIFE,,having given up on life,放弃生活
DEATH_REASON.INTERNAL_BLEEDING,,Internal bleeding,内出血
DEATH_REASON.KILLED_BY_ENTITY,,wounds suffered in combat,在战斗中受伤
DEATH_REASON.MURDERED.UNKNOWN_KILLER,,someone,
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,饥饿
DEATH_REASON.SUFFOCATION,,Suffocation,窒息
DEATH_REASON.UNKNOWN,,Mysterious circumstances,神秘环境

EARTH.DIRT,,Dirt,泥土
EARTH.GRASS,,Grass,青草

EFFECT.FIRE,When the player selects a fire by itself,Fire,

ENTITY.DESTRUCTION_DESCRIPTION.BURNED,,Destroyed by fire,毁于一场大火
ENTITY.DESTRUCTION_DESCRIPTION.COMBAT_DAMAGE,,Destroyed during combat,在战斗中被摧毁
ENTITY.DESTRUCTION_DESCRIPTION.OXIDISED,,Destroyed by prolonged exposure to rain,由于长期日晒雨淋损坏了

FACTION.HOSTILE_INVASION,,Hostile Invader,
FACTION.MERCHANTS,,Merchant,商人
FACTION.MONSTERS,,Monster,怪物
FACTION.PIRATES,,Pirate,
FACTION.SETTLEMENT,,Settler,
FACTION.SETTLEMENT.ANIMAL,,Domesticated Animal,驯养动物
FACTION.WILD_ANIMALS,,Wild Animal,野生动物

FLOOR.CHANNEL.DESCRIPTION,,Irrigation channel ({{state}}),灌溉渠
FLOOR.CHANNEL.DESCRIPTION.TOOLTIP,,Irrigation channels provide access to water to crops within 2 tiles. Build a water pump and connect the channels to it using pipes.,灌溉渠能为2格内的农作物提供水源。建造水泵，然后用管道连接灌溉渠。
FLOOR.CHANNEL.STATE.EMPTY,,Empty,空
FLOOR.CHANNEL.STATE.FULL,,Full,满
FLOOR.CHANNEL.STATE.PARTIALLY_FILLED,,Partially-filled,部分
FLOOR.COBBLESTONE,,Cobblestone,鹅卵石
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,泥土
FLOOR.GRASS,,Grass,青草
FLOOR.GRAVEL,,Gravel,砂砾
FLOOR.PIPE.DESCRIPTION,,{{material}} pipe ({{state}}),{{material}} 管道 ({{state}})
FLOOR.POWER.DESCRIPTION,,{{entity}} - Power available: {{powerAmount}},{{entity}} - 可用动能：{{powerAmount}}
FLOOR.RIVER,,River,河流
FLOOR.ROUGH_STONE,,Rough stone floor,粗糙的石地
FLOOR.SNOW,,Fallen snow,积雪
FLOOR.STONE_PAVING,,Stone paving,石头路
FLOOR.STONE_SLAB,,Stone slab,石板
FLOOR.TILLED_EARTH,,Tilled earth,耕土
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,未探索
FLOOR.WOODEN,,Wooden floorboards,木地板

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,石面包
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer Rosalie Moon once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,硬到难以下嘴的面包，经过非常久的时间后才会发霉。人类探险家J.A.莫法特称它的口感就像是“从沼泽里捞出来的砂砾”。幸好绝大多数矮人似乎并不在意。
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,小麦

FUEL.SACK,,Fuel,燃料
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.",{{FURNITURE.BLOOMERY_FURNACE}}和{{FURNITURE.FORGE}}的金属生产工序需要用到燃料。

FURNITURE.ARCHERY_TARGET,,Archery target,射垛
FURNITURE.ARCHERY_TARGET.TOOLTIP,,Military settlers will practice their ranged combat skills here up to level 50.,士兵能用来练习远程作战能力。
FURNITURE.ARMOUR_STAND,,Armour stand,盔甲架
FURNITURE.ARMOUR_STAND.TOOLTIP,,Used to store armour.,能用来存放盔甲。
FURNITURE.ARTISAN_WORKSTATION,,Artisan workstation,手工站
FURNITURE.ARTISAN_WORKSTATION.TOOLTIP,,A crafting station for intricate items produced by an {{PROFESSION.ARTISAN}}.,{{PROFESSION.ARTISAN}}能在此处生产精密物品。
FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,面包房
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,{{PROFESSION.CHEF}}的工作场所，他们能将{{RESOURCE.FLOUR.SACK.PLURAL}}做成{{INGREDIENT.DOUGH}}。
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,烤箱
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,经过{{PROFESSION.CHEF}}的辛勤劳动，{{INGREDIENT.DOUGH}}就变成了面包。
FURNITURE.BEER_TAPPER,,Beer tapper,啤酒龙头
FURNITURE.BEER_TAPPER.STATE.BEER_AVAILABLE,,Beer is available,有啤酒可以饮用
FURNITURE.BEER_TAPPER.STATE.BEER_BARREL_INCOMING,,A beer barrel is on the way,啤酒桶正在路上
FURNITURE.BEER_TAPPER.STATE.BEER_EXHAUSTED,,The beer has all gone!,啤酒全都没了！
FURNITURE.BEER_TAPPER.STATE.IDLE,,Idle (no beer available),闲置（无啤酒）
FURNITURE.BEER_TAPPER.TOOLTIP,,This is where fermented {{LIQUID.BEER}} is served from.,已经发酵的{{LIQUID.BEER}}流淌而出。
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,炼铁炉
FURNITURE.BLOOMERY_FURNACE.TOOLTIP,,A {{PROFESSION.BLACKSMITH}} uses this hand-operated furnace to turn {{RESOURCE.ORE.CRUSHED.PLURAL}} and {{FUEL.SACK}} into {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}}.,{{PROFESSION.BLACKSMITH}}使用这种手动操作的熔炉将{{RESOURCE.ORE.CRUSHED.PLURAL}}和{{FUEL.SACK}}冶炼成{{RESOURCE.METAL.INGOT.PLURAL}}。
FURNITURE.BONE_CRAFTING_BENCH,,Bone crafting bench,骨制品工作台
FURNITURE.BONE_CRAFTING_BENCH.TOOLTIP,,This is used to construct items out of bone.,打造骨制品的地方。
FURNITURE.BREW_KETTLE,,Brew kettle,酿造锅
FURNITURE.BREW_KETTLE.TOOLTIP,,This is used to produce the final wort (unfermented beer) using {{VEGETABLE.HOPS}} and wort from the {{FURNITURE.MASH_TUN}}.,这种器具能将{{VEGETABLE.HOPS}}和利用{{FURNITURE.MASH_TUN}}获得的麦芽汁做成未发酵的啤酒。
FURNITURE.BUTCHERY_WORKTOP,,Butchery worktop,屠宰台
FURNITURE.BUTCHERY_WORKTOP.TOOLTIP,,Fish and animal carcasses are prepared here into usable meat.,鱼类和动物骨肉经过处理后成为可食用的肉。
FURNITURE.BUYING_PALLET,,Buying pallet,
FURNITURE.BUYING_PALLET.TOOLTIP,,Use this to determine which items to buy from the merchants.,
FURNITURE.CARPENTRY_WORKBENCH,,Carpentry workbench,木工工作台
FURNITURE.CARPENTRY_WORKBENCH.TOOLTIP,,"Most wooden items and tools are produced here, such as {{PRODUCT.BUCKET.PLURAL}} and {{PRODUCT.BARREL.PLURAL}}.",大多数的木制品和工具都产自这里，比如{{PRODUCT.BUCKET.PLURAL}}和{{PRODUCT.BARREL.PLURAL}}。
FURNITURE.CAULDRON,A large metal pot for cooking (common with Halloween),Cauldron,坩埚
FURNITURE.CAULDRON.TOOLTIP,,A cauldron is used to serve a large quantity of soup to hungry settlers. The soup is produced in a {{ROOMS.KITCHEN}} before being moved to a {{ROOMS.FEASTING_HALL}} for serving.,盛汤用的器皿，可供许多饥饿的殖民者填饱肚子。汤食在{{ROOMS.KITCHEN}}制作，然后送往{{ROOMS.FEASTING_HALL}}。
FURNITURE.CHAIR,,Chair,椅子
FURNITURE.CHAIR.TOOLTIP,,Settlers can sit here while using the {{FURNITURE.FEASTING_TABLE}}.,
FURNITURE.CHARCOAL_CLAMP,,Charcoal clamp,制炭垛
FURNITURE.CHARCOAL_CLAMP.TOOLTIP,,"This is a pile of {{RESOURCE.LOGS.PLURAL}} covered with {{MATERIAL_TYPE.EARTH}} and slowly burned to produce {{ORE.CHARCOAL.NOUN}}, which can then be used as {{FUEL.SACK}}.",用{{MATERIAL_TYPE.EARTH}}盖在成堆的{{RESOURCE.LOGS.PLURAL}}上面，经过慢慢的燃烧能生成{{ORE.CHARCOAL.NOUN}}，然后可以当作{{FUEL.SACK}}使用。
FURNITURE.COKE_OVEN,,Coke oven,炼焦炉
FURNITURE.COKE_OVEN.TOOLTIP,,A coke oven converts {{ORE.BITUMINOUS_COAL.NOUN}} into {{ORE.COKE.NOUN}} so that it can be used as {{FUEL.SACK}}.,炼焦炉能将{{ORE.BITUMINOUS_COAL.NOUN}}转化成{{ORE.COKE.NOUN}}，从而可以当做{{FUEL.SACK}}使用。
FURNITURE.DESCRIPTION,E.g. “Granite stonemason workbench”,{{materialType.adjective}} {{furnitureType.noun}},{{materialType.adjective}} {{furnitureType.noun}}
FURNITURE.DESCRIPTION.GENERIC_PROGRESS,,Progress to completion: {{progress}}%,完成进度：{{progress}}%
FURNITURE.DESCRIPTION.MUSHROOM_INNOCULATION_IN_PROGRESS,,Progress to complete innoculation: {{progress}}%,距离完全接种：{{progress}}%
FURNITURE.DESCRIPTION.SHOCKING_IN_PROGRESS,,Progress: {{progress}}%,进度：{{progress}}%
FURNITURE.DESCRIPTION.WAITING_FOR_ITEM,,Waiting for {{itemType.noun}},等待{{itemType.noun}}
FURNITURE.DESCRIPTION.WAITING_FOR_LIQUID,,Waiting to be filled,等待填充
FURNITURE.DESCRIPTION.WAITING_FOR_MUSHROOM_SPAWN,,Waiting to be injected with mushroom spawn,等待注入菌种
FURNITURE.DOUGH_PROOFING_TABLE,,Dough proofing table,发酵台
FURNITURE.DOUGH_PROOFING_TABLE.TOOLTIP,,Dough can be taken from {{FURNITURE.BAKERS_WORKTOP}} to store here before entering the {{FURNITURE.BAKING_OVEN}}.,{{FURNITURE.BAKERS_WORKTOP}}制作的生面团会储存于此处，然后再送到{{FURNITURE.BAKING_OVEN}}。
FURNITURE.EXPORT_PALLET,,Export pallet,出口托板
FURNITURE.EXPORT_PALLET.TOOLTIP,,Use this to determine which items to export from the room.,决定从房间运出的物品。
FURNITURE.FEASTING_TABLE,A very large table for a feast,Feasting table,宴会桌
FURNITURE.FEASTING_TABLE.TOOLTIP,,"With a {{FURNITURE.CHAIR}} in place, your settlers will enjoy their meals at this table.",再加上{{FURNITURE.CHAIR}}，你的殖民者们就可以在桌子前享用食物了。
FURNITURE.FERMENTATION_TANK,,Fermentation tank,发酵罐
FURNITURE.FERMENTATION_TANK.TOOLTIP,,This is where {{LIQUID.HOPPED_WORT}} is fermented into {{LIQUID.BEER}}.,{{LIQUID.HOPPED_WORT}}发酵成{{LIQUID.BEER}}的容器。
FURNITURE.FISH_BARREL,,Fish barrel,鱼桶
FURNITURE.FISH_BARREL.TOOLTIP,,Neatly store away your caught fish for future cooking.,储存鱼的容器，既整洁，又便于之后用作烹饪。
FURNITURE.FLETCHERS_WORKBENCH,,Fletcher's workbench,制箭台
FURNITURE.FLETCHERS_WORKBENCH.TOOLTIP,,This is a crafting station for ranged weapons and ammunition.,用来制作远程武器和弹药的工作台。
FURNITURE.FLOUR_MILL,This is a table with a hand-operated flour mill stone on top,Gristmill,磨坊
FURNITURE.FLOUR_MILL.TOOLTIP,,The gristmill grinds {{VEGETABLE.WHEAT}} into {{RESOURCE.FLOUR.SACK.NOUN}} so that it can be used by a {{PROFESSION.CHEF}}.,磨坊能将{{VEGETABLE.WHEAT}}磨碎成{{PROFESSION.CHEF}}使用的{{RESOURCE.FLOUR.SACK.NOUN}}。
FURNITURE.FORGE,,Forge,锻造间
FURNITURE.FORGE.TOOLTIP,,This is where a {{PROFESSION.BLACKSMITH}} works with {{MATERIAL_TYPE.METAL.ADJECTIVE}} {{RESOURCE.METAL.INGOT.PLURAL}} and {{FUEL.SACK}} to craft items and weapons.,{{PROFESSION.BLACKSMITH}}将{{RESOURCE.METAL.INGOT.PLURAL}}和{{FUEL.SACK}}制作武器和其他物品的地方。
FURNITURE.GRAVE,,Grave,坟墓
FURNITURE.GRAVE.TOOLTIP,,A hastily-dug grave for deceased settlers that can only be dug into {{MATERIAL_TYPE.EARTH}}.,匆匆挖掘的坟墓，仅可在{{MATERIAL_TYPE.EARTH}}。
FURNITURE.HITCHING_POST,,Hitching post,拴马柱
FURNITURE.HITCHING_POST.TOOLTIP,,Visiting merchants will park their wagons here.,来访的商人可以把马车停于此处。
FURNITURE.IMPORT_PALLET,,Import pallet,进口托板
FURNITURE.IMPORT_PALLET.TOOLTIP,,Use this to determine which items to import to the room.,决定运进房间的物品。
FURNITURE.INVADER_CAMPFIRE,,Campfire,营火
